 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	0.001	18.498	0.542	0.106	0.039	0.034	45.000	1.000	0.045	2074	62	36.870	0.036	1.159	0.863	0.897
2	0.001	10.033	0.852	0.111	0.039	0.034	166.224	1.000	0.045	1124	94	126.870	0.036	1.148	0.871	0.897
3	0.001	12.050	0.972	0.119	0.041	0.037	165.964	1.000	0.048	1350	108	158.199	0.036	1.127	0.887	0.857
4	2.447	16.464	2.121	7.662	2.978	1.046	147.439	0.524	3.038	1702	132	144.912	1.288	2.847	0.351	0.877
5	2.665	2.810	1.661	7.313	2.791	1.216	178.137	0.626	2.815	155	189	4.357	1.285	2.295	0.436	0.936
6	1.325	24.310	1.961	4.993	1.606	1.051	56.535	0.668	1.773	2643	283	50.711	1.087	1.529	0.654	0.928
7	2.395	9.802	1.780	7.505	2.471	1.234	0.747	0.534	2.649	951	226	5.404	1.334	2.002	0.499	0.948
8	1.923	6.234	1.877	6.318	2.441	1.003	170.796	0.606	2.486	561	187	171.550	1.063	2.433	0.411	0.948
9	1.134	26.524	2.020	4.785	1.708	0.845	134.681	0.622	1.766	2908	144	142.379	0.878	2.021	0.495	0.940
10	1.184	18.937	2.090	4.446	1.348	1.118	113.918	0.753	1.501	2124	146	111.233	1.151	1.205	0.830	0.953
11	1.585	13.193	2.048	5.763	1.934	1.044	14.692	0.600	2.068	1363	265	19.372	1.082	1.853	0.540	0.908
12	1.803	21.745	2.038	5.892	2.134	1.076	178.176	0.653	2.287	2300	225	175.755	1.131	1.983	0.504	0.953
13	7.939E-5	6.865	2.383	0.025	0.010	0.010	0.000	1.000	0.013	770	267	135.000	0.009	1.000	1.000	1.000
14	0.008	6.865	2.443	0.467	0.215	0.047	177.772	0.458	0.216	758	272	172.875	0.053	4.584	0.218	0.847
15	5.557E-4	2.615	3.005	0.081	0.028	0.026	0.000	1.000	0.032	292	336	123.690	0.027	1.069	0.936	0.875
16	0.702	26.946	3.995	3.404	1.214	0.736	138.917	0.761	1.255	2987	389	126.626	0.749	1.650	0.606	0.960
17	0.856	16.385	4.361	4.468	1.354	0.805	114.315	0.539	1.508	1843	403	104.365	0.874	1.683	0.594	0.921
18	0.500	23.577	4.006	3.468	1.224	0.520	159.421	0.522	1.352	2580	441	161.565	0.616	2.355	0.425	0.878
19	0.657	19.961	4.183	3.276	1.016	0.823	86.842	0.769	1.102	2232	405	99.310	0.857	1.234	0.810	0.944
20	0.705	14.198	4.096	3.599	1.285	0.698	148.976	0.683	1.354	1520	413	147.355	0.769	1.839	0.544	0.945
21	0.391	25.322	4.002	2.544	0.900	0.553	148.194	0.759	0.939	2791	439	160.017	0.570	1.627	0.615	0.950
22	0.792	4.194	4.237	4.030	1.550	0.651	154.512	0.613	1.572	402	428	145.860	0.695	2.383	0.420	0.920
23	0.611	10.396	4.188	3.590	1.430	0.544	25.211	0.596	1.456	1095	507	28.918	0.571	2.629	0.380	0.944
24	0.734	18.318	4.304	3.540	1.287	0.726	132.140	0.736	1.344	2005	430	131.507	0.781	1.773	0.564	0.957
25	0.595	21.830	4.127	3.596	1.365	0.555	158.354	0.578	1.427	2375	429	159.528	0.616	2.458	0.407	0.941
26	0.739	8.120	4.220	3.519	1.184	0.795	10.094	0.750	1.235	848	451	171.285	0.830	1.490	0.671	0.954
27	0.726	2.206	4.313	3.762	1.253	0.737	172.202	0.644	1.305	178	497	175.691	0.781	1.700	0.588	0.911
28	0.422	12.184	4.174	2.720	0.989	0.544	8.134	0.717	1.019	1310	472	4.514	0.553	1.818	0.550	0.937
29	0.339	6.189	4.378	2.500	0.921	0.469	140.854	0.682	0.926	658	460	136.169	0.504	1.966	0.509	0.915
30	0.014	3.996	4.510	0.603	0.268	0.069	165.966	0.499	0.277	434	502	165.069	0.078	3.913	0.256	0.899
31	0.320	26.416	5.276	2.457	0.866	0.470	134.651	0.666	0.918	2933	551	129.094	0.497	1.841	0.543	0.922
32	0.579	23.368	5.608	3.820	1.602	0.460	131.225	0.499	1.608	2566	570	132.979	0.539	3.480	0.287	0.896
33	0.587	21.768	5.772	3.254	1.134	0.659	102.061	0.697	1.220	2423	581	101.802	0.696	1.722	0.581	0.922
34	0.336	14.707	5.488	2.481	0.870	0.492	159.753	0.686	0.920	1612	587	144.462	0.512	1.768	0.566	0.935
35	0.287	24.789	5.569	2.393	0.955	0.383	137.259	0.631	0.952	2742	595	141.843	0.390	2.493	0.401	0.930
36	0.486	3.844	5.796	3.016	1.090	0.568	90.133	0.672	1.132	427	588	97.237	0.588	1.919	0.521	0.922
37	0.371	11.278	5.603	2.491	0.890	0.531	17.573	0.751	0.977	1212	640	9.978	0.562	1.678	0.596	0.952
38	0.451	12.870	5.641	2.822	0.992	0.578	154.337	0.711	1.039	1400	600	141.263	0.605	1.716	0.583	0.939
39	0.448	18.119	5.736	2.767	0.940	0.607	174.199	0.735	0.973	1976	661	3.674	0.607	1.549	0.645	0.950
40	0.479	16.579	5.834	2.740	0.988	0.617	141.879	0.801	1.026	1817	615	140.641	0.652	1.602	0.624	0.970
41	0.434	2.113	5.859	2.694	0.943	0.586	11.991	0.751	0.952	185	666	6.992	0.595	1.608	0.622	0.951
42	0.603	6.882	5.914	3.245	1.136	0.676	160.882	0.719	1.191	705	646	164.820	0.732	1.680	0.595	0.939
43	0.421	19.958	5.920	2.871	1.000	0.536	3.263	0.642	1.146	2174	679	11.659	0.589	1.864	0.536	0.908
