 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.484E-4	2.120	0.207	0.034	0.014	0.014	0.000	1.000	0.017	347	33	135.000	0.012	1.000	1.000	1.000
2	1.113E-4	11.381	0.214	0.034	0.014	0.010	45.000	1.000	0.017	1867	36	45.000	0.012	1.464	0.683	0.857
3	7.422E-4	5.463	0.318	0.093	0.031	0.030	135.000	1.000	0.036	895	50	120.964	0.030	1.038	0.963	0.909
4	0.041	19.303	0.665	0.806	0.292	0.180	162.227	0.800	0.294	3147	99	155.556	0.188	1.617	0.619	0.940
5	0.384	18.051	1.021	2.546	0.863	0.567	54.444	0.745	0.936	2902	213	38.660	0.579	1.523	0.657	0.950
6	0.170	19.763	0.855	1.704	0.589	0.366	13.523	0.734	0.613	3195	142	6.277	0.377	1.609	0.622	0.937
7	0.001	7.818	0.682	0.133	0.044	0.037	60.579	0.926	0.050	1282	116	75.964	0.041	1.187	0.843	0.824
8	0.003	9.004	0.859	0.222	0.084	0.051	68.762	0.854	0.088	1473	146	56.310	0.055	1.649	0.607	0.923
9	0.230	14.445	1.169	1.974	0.623	0.469	78.730	0.740	0.659	2333	231	56.310	0.502	1.327	0.754	0.952
10	2.227E-4	6.683	0.880	0.047	0.021	0.014	90.000	1.000	0.022	1096	143	123.690	0.012	1.500	0.667	1.000
11	0.004	9.306	0.918	0.223	0.074	0.062	112.891	0.909	0.078	1523	146	128.660	0.065	1.187	0.842	0.902
12	0.230	6.895	1.213	1.851	0.559	0.523	98.305	0.842	0.600	1118	246	77.093	0.510	1.069	0.935	0.967
13	0.356	16.201	1.235	2.409	0.802	0.566	12.204	0.772	0.846	2605	246	30.256	0.591	1.417	0.706	0.964
14	0.048	21.296	1.133	0.872	0.286	0.216	65.826	0.801	0.319	3482	209	55.098	0.225	1.325	0.755	0.946
15	0.281	8.676	1.355	2.040	0.671	0.534	92.114	0.849	0.669	1413	167	105.301	0.512	1.258	0.795	0.974
16	0.234	12.734	1.305	2.056	0.753	0.395	22.839	0.695	0.755	2029	232	14.485	0.404	1.906	0.525	0.958
17	0.413	5.237	1.375	2.689	0.931	0.564	10.304	0.717	0.939	781	219	168.398	0.568	1.650	0.606	0.954
18	0.272	10.457	1.294	2.150	0.750	0.461	0.837	0.739	0.761	1661	221	10.141	0.496	1.626	0.615	0.951
19	0.471	2.982	1.446	2.685	0.816	0.735	164.825	0.821	0.889	423	249	9.462	0.711	1.111	0.900	0.968
20	0.001	3.748	1.200	0.111	0.037	0.035	33.523	1.000	0.041	612	196	153.435	0.037	1.059	0.945	0.885
21	0.043	20.474	1.567	0.814	0.271	0.200	150.899	0.807	0.292	3343	243	144.324	0.209	1.360	0.735	0.944
22	0.002	9.838	1.770	0.161	0.053	0.050	111.968	1.000	0.058	1614	286	108.435	0.049	1.078	0.928	0.903
