 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.511	19.571	1.831	7.952	3.332	0.578	63.252	0.300	3.486	2139	383	62.222	0.694	5.768	0.173	0.826
2	9.812E-4	7.758	0.264	0.108	0.038	0.033	13.776	1.000	0.043	891	29	143.130	0.035	1.148	0.871	0.897
3	1.532	14.948	1.540	7.681	3.590	0.543	44.615	0.326	3.460	1589	323	46.730	0.594	6.608	0.151	0.908
4	2.993	28.386	1.869	8.645	3.562	1.070	74.077	0.503	3.513	3192	413	69.593	1.126	3.329	0.300	0.941
5	2.066	17.735	1.493	6.680	2.507	1.049	44.746	0.582	2.425	1925	256	32.267	1.018	2.390	0.418	0.942
6	1.897	12.445	1.839	7.103	2.828	0.854	59.921	0.472	2.923	1362	350	61.988	0.933	3.311	0.302	0.920
7	3.634	8.051	1.989	9.349	3.869	1.196	43.222	0.523	3.748	754	327	35.090	1.222	3.234	0.309	0.944
8	1.421	21.377	1.606	6.340	2.524	0.717	67.740	0.444	2.545	2394	341	58.969	0.834	3.522	0.284	0.945
9	1.326	26.246	1.511	5.876	2.042	0.827	89.873	0.483	2.230	3006	67	94.245	0.890	2.470	0.405	0.921
10	1.710	23.261	1.741	5.821	2.119	1.027	68.938	0.634	2.198	2610	319	57.755	1.083	2.064	0.485	0.949
11	3.569	4.993	2.041	8.603	2.885	1.575	22.481	0.606	2.954	447	346	29.808	1.595	1.831	0.546	0.923
12	7.547E-4	20.742	1.075	0.096	0.034	0.028	90.000	1.000	0.039	2386	122	116.565	0.026	1.236	0.809	0.909
13	2.186	2.011	1.752	6.352	2.263	1.230	179.824	0.681	2.207	109	166	154.847	1.251	1.840	0.543	0.944
14	0.484	24.670	2.016	3.401	1.216	0.507	80.941	0.526	1.304	2848	145	92.291	0.542	2.398	0.417	0.930
15	1.949	10.304	2.098	6.261	1.925	1.289	35.210	0.625	1.920	1094	297	24.594	1.280	1.494	0.669	0.956
16	0.002	18.876	1.738	0.173	0.057	0.052	65.206	0.984	0.068	2170	203	50.194	0.052	1.098	0.911	0.925
17	0.002	18.914	2.116	0.150	0.052	0.046	10.870	1.000	0.058	2174	245	26.565	0.043	1.147	0.872	0.909
18	6.038E-4	2.393	2.378	0.119	0.054	0.014	172.534	0.539	0.055	272	273	161.565	0.017	3.759	0.266	0.800
19	6.793E-4	2.489	2.393	0.084	0.029	0.029	0.000	1.000	0.037	285	274	135.000	0.026	1.000	1.000	1.000
20	3.019E-4	13.587	2.398	0.049	0.020	0.020	0.000	1.000	0.025	1563	275	135.000	0.017	1.000	1.000	1.000
