 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.002,9.865,0.054,0.203,0.052,0.045,80.464,0.560,0.065,7008,57,77.471,0.049,1.159,0.863,0.836
2,4.527E-4,3.648,0.052,0.087,0.033,0.018,71.863,0.744,0.033,2590,49,67.751,0.020,1.858,0.538,0.893
3,9.074E-4,6.443,0.057,0.143,0.044,0.026,173.352,0.555,0.049,4565,38,168.366,0.030,1.660,0.602,0.848
4,1.107E-4,8.393,0.049,0.042,0.016,0.009,40.195,0.780,0.017,5964,37,34.992,0.010,1.888,0.530,0.836
5,3.282E-4,10.181,0.052,0.108,0.025,0.017,147.983,0.354,0.031,7229,34,144.162,0.025,1.454,0.688,0.632
6,0.001,10.874,0.068,0.170,0.053,0.024,120.411,0.435,0.060,7726,31,119.578,0.030,2.223,0.450,0.731
7,2.234E-4,8.201,0.051,0.057,0.019,0.015,45.431,0.860,0.021,5827,40,31.608,0.017,1.323,0.756,0.904
8,1.166E-4,9.584,0.050,0.041,0.016,0.009,47.269,0.869,0.017,6813,41,55.008,0.010,1.822,0.549,0.887
9,1.285E-4,5.217,0.051,0.046,0.017,0.009,134.829,0.767,0.018,3706,32,128.660,0.010,1.864,0.536,0.890
10,7.631E-4,8.366,0.061,0.111,0.033,0.030,72.114,0.784,0.037,5946,56,60.524,0.030,1.115,0.897,0.902
11,3.341E-4,7.352,0.057,0.067,0.022,0.019,159.187,0.933,0.023,5221,40,165.964,0.020,1.124,0.889,0.931
12,2.372E-4,10.014,0.070,0.083,0.024,0.013,79.458,0.432,0.028,7117,57,69.775,0.015,1.926,0.519,0.764
13,6.919E-5,10.297,0.060,0.029,0.009,0.009,153.435,1.000,0.011,7320,41,156.801,0.010,1.003,0.997,0.875
14,2.550E-4,0.963,0.074,0.072,0.023,0.014,93.799,0.615,0.025,680,44,109.440,0.017,1.667,0.600,0.784
15,9.094E-5,9.239,0.070,0.036,0.014,0.008,132.844,0.868,0.014,6568,46,119.055,0.009,1.624,0.616,0.876
16,4.606E-4,3.534,0.079,0.095,0.032,0.019,51.610,0.643,0.035,2508,69,56.310,0.021,1.694,0.590,0.832
17,0.002,8.060,0.093,0.205,0.063,0.036,44.076,0.525,0.065,5720,85,52.883,0.043,1.765,0.567,0.818
18,1.048E-4,10.634,0.076,0.042,0.013,0.010,39.184,0.762,0.015,7559,57,41.186,0.011,1.364,0.733,0.869
19,5.417E-4,11.108,0.087,0.112,0.031,0.022,83.606,0.542,0.035,7896,74,73.740,0.026,1.419,0.705,0.771
20,2.471E-4,5.632,0.082,0.061,0.019,0.016,65.944,0.832,0.021,4000,63,36.870,0.017,1.187,0.843,0.899
21,1.799E-4,6.130,0.081,0.060,0.016,0.014,97.132,0.622,0.020,4357,51,120.256,0.015,1.114,0.898,0.791
22,3.657E-4,10.402,0.081,0.076,0.026,0.018,24.044,0.789,0.028,7389,62,32.905,0.019,1.505,0.664,0.883
