 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.007,7.729,0.076,0.354,0.125,0.072,81.925,0.710,0.132,5490,98,78.930,0.077,1.727,0.579,0.929
2,0.021,8.094,0.118,0.611,0.202,0.132,88.580,0.706,0.222,5755,169,84.181,0.138,1.524,0.656,0.941
3,0.008,9.746,0.114,0.358,0.121,0.081,38.856,0.758,0.124,6907,114,57.926,0.085,1.497,0.668,0.929
4,5.547E-4,5.529,0.067,0.089,0.029,0.025,4.244,0.887,0.030,3925,47,166.608,0.024,1.162,0.861,0.937
5,0.019,5.969,0.137,0.546,0.165,0.145,53.287,0.792,0.172,4225,154,61.763,0.152,1.132,0.883,0.950
6,0.010,1.889,0.100,0.421,0.158,0.079,172.083,0.697,0.168,1290,57,170.853,0.083,2.003,0.499,0.954
7,0.011,2.768,0.142,0.562,0.152,0.090,13.870,0.430,0.179,1910,127,30.192,0.107,1.681,0.595,0.841
8,0.005,2.011,0.130,0.301,0.115,0.059,26.908,0.745,0.117,1398,114,31.201,0.063,1.943,0.515,0.950
9,0.010,7.899,0.153,0.461,0.166,0.080,25.171,0.615,0.176,5569,140,32.296,0.096,2.090,0.479,0.888
10,0.003,1.330,0.132,0.200,0.067,0.053,20.124,0.888,0.068,926,106,32.381,0.053,1.266,0.790,0.967
11,0.028,4.420,0.213,0.738,0.248,0.146,30.807,0.654,0.258,3059,202,29.358,0.167,1.698,0.589,0.917
12,0.004,10.731,0.192,0.266,0.095,0.060,102.704,0.797,0.101,7630,103,98.807,0.062,1.586,0.630,0.949
13,0.004,1.841,0.193,0.239,0.077,0.060,96.773,0.790,0.087,1303,107,104.036,0.062,1.289,0.776,0.921
14,0.030,10.098,0.264,0.729,0.239,0.157,110.127,0.700,0.262,7139,109,111.060,0.170,1.522,0.657,0.940
15,0.004,6.196,0.210,0.240,0.084,0.060,63.784,0.865,0.084,4394,175,60.018,0.061,1.400,0.714,0.966
16,0.002,3.603,0.219,0.171,0.057,0.047,84.670,0.905,0.058,2561,176,80.311,0.046,1.224,0.817,0.967
17,0.008,6.329,0.245,0.361,0.111,0.088,111.873,0.742,0.122,4478,143,120.399,0.091,1.268,0.789,0.924
18,6.494E-4,9.592,0.213,0.097,0.033,0.025,97.261,0.868,0.035,6823,141,106.260,0.027,1.281,0.780,0.937
19,0.014,3.936,0.283,0.491,0.156,0.111,33.238,0.706,0.171,2745,226,19.179,0.110,1.411,0.709,0.918
20,0.027,6.459,0.329,0.682,0.213,0.159,68.150,0.721,0.230,4582,315,74.776,0.172,1.340,0.746,0.917
21,0.005,0.899,0.282,0.290,0.087,0.067,97.223,0.686,0.096,634,170,95.877,0.071,1.306,0.765,0.889
22,0.004,7.306,0.293,0.246,0.079,0.056,141.873,0.727,0.090,5176,185,144.567,0.061,1.406,0.711,0.914
23,0.023,9.036,0.401,0.652,0.237,0.121,83.124,0.668,0.238,6429,372,88.305,0.127,1.950,0.513,0.936
24,0.004,5.769,0.357,0.273,0.091,0.061,29.430,0.731,0.101,4073,269,31.921,0.068,1.502,0.666,0.917
25,0.005,5.230,0.390,0.292,0.099,0.069,72.460,0.791,0.107,3713,319,73.229,0.075,1.436,0.696,0.944
26,0.008,9.769,0.429,0.363,0.124,0.082,104.133,0.765,0.128,6930,267,107.241,0.085,1.509,0.663,0.949
27,0.033,8.099,0.523,1.251,0.235,0.181,78.941,0.268,0.283,5713,471,69.044,0.214,1.300,0.769,0.796
28,0.007,0.786,0.476,0.371,0.127,0.071,132.283,0.651,0.128,519,311,151.189,0.076,1.777,0.563,0.903
29,0.007,3.781,0.478,0.346,0.110,0.084,161.815,0.762,0.112,2650,345,9.345,0.084,1.312,0.762,0.937
30,0.006,6.947,0.476,0.328,0.118,0.067,5.377,0.730,0.124,4901,339,12.458,0.069,1.761,0.568,0.940
31,0.004,6.224,0.498,0.332,0.084,0.064,144.464,0.478,0.097,4408,326,112.109,0.079,1.310,0.764,0.734
32,0.014,7.753,0.529,0.502,0.158,0.112,153.015,0.696,0.175,5476,337,142.487,0.125,1.415,0.707,0.915
