 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.758E-4,2.540,0.008,0.051,0.020,0.011,147.469,0.858,0.020,1780,3,155.225,0.013,1.711,0.584,0.879
2,3.556E-4,8.007,0.013,0.082,0.028,0.016,147.921,0.659,0.028,5626,2,143.130,0.019,1.686,0.593,0.840
3,1.899E-4,4.654,0.012,0.054,0.020,0.012,79.577,0.827,0.021,3273,16,70.346,0.013,1.627,0.615,0.913
4,1.879E-4,4.774,0.012,0.055,0.019,0.012,49.248,0.783,0.022,3355,15,58.392,0.015,1.586,0.630,0.886
5,0.002,7.351,0.028,0.183,0.059,0.047,27.939,0.822,0.063,5157,35,42.274,0.050,1.260,0.794,0.936
6,0.008,7.437,0.051,0.370,0.126,0.081,8.065,0.736,0.132,5185,49,16.876,0.088,1.561,0.641,0.928
7,0.004,8.093,0.049,0.260,0.092,0.057,77.426,0.763,0.096,5683,68,69.146,0.060,1.627,0.615,0.941
8,0.007,10.893,0.059,0.482,0.104,0.090,9.504,0.397,0.125,7621,67,34.778,0.103,1.153,0.867,0.760
9,5.577E-4,6.364,0.019,0.093,0.029,0.025,45.755,0.806,0.032,4467,19,32.276,0.026,1.178,0.849,0.896
10,0.003,0.105,0.037,0.200,0.061,0.054,6.748,0.805,0.066,50,19,154.537,0.055,1.142,0.876,0.920
11,1.980E-4,8.030,0.016,0.051,0.018,0.014,51.351,0.948,0.019,5644,16,36.027,0.015,1.309,0.764,0.912
12,4.748E-4,2.260,0.023,0.083,0.028,0.021,86.445,0.877,0.030,1585,7,115.346,0.021,1.324,0.755,0.942
13,0.004,4.495,0.054,0.268,0.085,0.067,53.766,0.784,0.090,3154,68,75.303,0.071,1.263,0.792,0.920
14,0.007,5.469,0.052,0.366,0.119,0.078,15.885,0.684,0.127,3803,47,16.209,0.081,1.527,0.655,0.915
15,3.435E-4,3.824,0.023,0.075,0.026,0.017,104.778,0.757,0.027,2683,9,117.897,0.018,1.534,0.652,0.867
16,9.981E-4,0.154,0.039,0.149,0.052,0.024,58.594,0.561,0.059,96,42,52.853,0.029,2.151,0.465,0.834
17,2.465E-4,0.332,0.021,0.063,0.024,0.013,30.503,0.773,0.024,226,19,20.556,0.015,1.827,0.547,0.844
18,2.303E-4,0.437,0.025,0.060,0.023,0.013,140.371,0.792,0.024,303,11,122.735,0.014,1.837,0.544,0.851
19,3.435E-4,1.628,0.030,0.074,0.029,0.015,134.284,0.784,0.030,1141,11,125.218,0.016,1.923,0.520,0.904
20,1.354E-4,8.051,0.027,0.044,0.016,0.011,54.298,0.898,0.017,5661,24,59.036,0.012,1.417,0.705,0.882
21,0.037,9.435,0.102,0.828,0.280,0.168,2.887,0.678,0.285,6539,55,176.852,0.171,1.662,0.602,0.930
22,0.001,10.342,0.046,0.147,0.045,0.041,95.564,0.841,0.049,7273,49,78.366,0.041,1.118,0.895,0.932
23,4.506E-4,3.777,0.036,0.108,0.032,0.018,9.988,0.487,0.038,2645,28,26.565,0.022,1.751,0.571,0.725
24,7.819E-4,5.959,0.041,0.115,0.039,0.026,155.412,0.737,0.043,4180,21,148.392,0.029,1.494,0.669,0.883
25,0.018,9.168,0.118,0.658,0.170,0.138,106.694,0.532,0.202,6424,157,79.479,0.148,1.230,0.813,0.843
26,2.384E-4,2.293,0.036,0.062,0.021,0.015,98.868,0.773,0.022,1608,19,124.695,0.016,1.397,0.716,0.881
27,4.789E-4,5.817,0.045,0.098,0.035,0.018,106.574,0.630,0.038,4089,18,114.624,0.021,1.980,0.505,0.817
28,3.799E-4,4.051,0.038,0.075,0.023,0.021,96.879,0.845,0.026,2845,34,56.310,0.022,1.073,0.932,0.913
29,0.014,4.220,0.134,0.695,0.191,0.090,102.283,0.352,0.214,2964,169,84.289,0.108,2.111,0.474,0.782
30,0.033,5.891,0.173,1.260,0.248,0.169,88.698,0.260,0.298,4122,20,106.621,0.198,1.470,0.680,0.745
31,4.647E-4,8.508,0.043,0.088,0.030,0.020,113.659,0.759,0.032,5979,21,127.875,0.022,1.488,0.672,0.880
32,2.869E-4,9.210,0.038,0.071,0.024,0.015,166.275,0.709,0.025,6470,26,166.759,0.017,1.577,0.634,0.828
33,1.839E-4,2.827,0.040,0.050,0.019,0.013,125.728,0.910,0.019,1983,24,143.973,0.014,1.471,0.680,0.888
