 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.007,2.813,0.052,0.340,0.120,0.071,160.416,0.730,0.130,1927,21,160.769,0.079,1.683,0.594,0.936
2,0.008,9.353,0.072,0.418,0.131,0.080,95.457,0.594,0.146,6526,5,103.627,0.088,1.632,0.613,0.861
3,0.058,6.261,0.286,1.271,0.522,0.141,76.325,0.449,0.544,4329,371,73.185,0.148,3.701,0.270,0.939
4,0.008,8.637,0.091,0.412,0.155,0.068,107.622,0.615,0.168,6029,7,105.811,0.075,2.264,0.442,0.924
5,0.009,11.266,0.071,0.434,0.153,0.078,160.843,0.625,0.161,7822,36,163.496,0.084,1.968,0.508,0.925
6,0.037,0.463,0.125,0.892,0.291,0.162,0.091,0.583,0.321,221,101,6.904,0.176,1.797,0.557,0.889
7,0.015,8.813,0.111,0.512,0.162,0.122,179.336,0.743,0.179,6098,90,6.897,0.132,1.332,0.751,0.925
8,0.017,4.460,0.136,0.552,0.178,0.122,149.643,0.701,0.190,3064,63,156.519,0.129,1.456,0.687,0.926
9,0.018,4.896,0.156,0.584,0.170,0.133,45.182,0.658,0.195,3373,161,62.496,0.145,1.278,0.782,0.876
10,0.027,7.524,0.173,0.695,0.237,0.144,89.843,0.697,0.244,5232,41,101.837,0.146,1.651,0.606,0.938
11,0.008,3.804,0.141,0.392,0.139,0.070,112.237,0.622,0.145,2627,56,126.983,0.076,2.003,0.499,0.883
12,0.020,6.507,0.218,0.710,0.275,0.093,52.360,0.497,0.291,4496,239,56.622,0.108,2.966,0.337,0.879
13,0.006,9.434,0.192,0.357,0.141,0.054,114.538,0.586,0.144,6577,89,112.225,0.062,2.612,0.383,0.861
14,0.015,2.569,0.233,0.593,0.220,0.087,20.118,0.539,0.247,1718,197,21.371,0.097,2.513,0.398,0.916
15,0.004,0.310,0.234,0.275,0.077,0.073,57.730,0.730,0.087,205,135,103.349,0.075,1.049,0.953,0.901
16,0.013,10.310,0.287,0.472,0.161,0.101,141.263,0.720,0.170,7164,168,132.955,0.107,1.606,0.622,0.925
17,0.009,7.379,0.273,0.429,0.144,0.083,177.046,0.640,0.157,5105,205,5.763,0.096,1.739,0.575,0.878
18,0.005,1.361,0.266,0.282,0.095,0.066,125.860,0.784,0.098,939,155,106.060,0.066,1.438,0.695,0.940
19,0.022,2.136,0.320,0.831,0.311,0.090,28.478,0.401,0.354,1374,290,23.868,0.110,3.448,0.290,0.852
20,0.011,0.942,0.316,0.429,0.145,0.095,59.723,0.744,0.155,616,257,53.236,0.102,1.525,0.656,0.941
21,0.007,5.386,0.287,0.393,0.149,0.058,167.184,0.554,0.160,3712,182,166.584,0.065,2.573,0.389,0.886
22,0.008,11.202,0.315,0.408,0.152,0.065,45.528,0.583,0.160,7788,265,51.180,0.067,2.353,0.425,0.895
23,0.038,2.314,0.413,1.269,0.359,0.134,45.669,0.296,0.379,1532,403,57.811,0.157,2.674,0.374,0.820
24,0.018,10.567,0.408,0.713,0.258,0.090,101.099,0.454,0.287,7374,189,99.181,0.109,2.861,0.350,0.847
25,0.018,10.703,0.363,0.545,0.156,0.144,98.730,0.748,0.169,7445,202,118.301,0.154,1.083,0.923,0.930
26,0.005,4.631,0.329,0.310,0.094,0.073,150.241,0.704,0.109,3211,202,124.315,0.082,1.276,0.784,0.897
27,0.014,5.175,0.395,0.476,0.145,0.122,79.196,0.768,0.155,3595,229,109.440,0.123,1.192,0.839,0.940
28,0.007,6.547,0.379,0.341,0.117,0.073,22.918,0.725,0.129,4534,270,19.440,0.079,1.586,0.630,0.943
29,0.015,0.756,0.407,0.529,0.185,0.103,166.916,0.673,0.193,469,256,166.273,0.110,1.800,0.556,0.923
30,0.006,3.882,0.418,0.373,0.161,0.047,42.655,0.539,0.158,2670,324,38.741,0.051,3.401,0.294,0.914
31,0.017,2.955,0.439,0.552,0.187,0.116,36.323,0.703,0.193,2010,351,38.991,0.127,1.612,0.620,0.905
32,0.012,10.103,0.448,0.452,0.169,0.088,101.240,0.719,0.172,7056,251,98.601,0.089,1.914,0.522,0.943
33,0.007,2.652,0.411,0.345,0.113,0.076,169.265,0.718,0.125,1817,264,158.443,0.082,1.483,0.674,0.939
34,0.007,3.458,0.429,0.360,0.129,0.068,58.832,0.671,0.138,2399,346,56.802,0.073,1.880,0.532,0.930
35,0.005,3.998,0.429,0.292,0.096,0.064,69.505,0.706,0.102,2796,332,79.479,0.066,1.499,0.667,0.926
36,0.008,0.131,0.435,0.390,0.114,0.087,161.002,0.644,0.124,49,288,171.404,0.097,1.303,0.768,0.889
37,0.038,2.609,0.539,1.055,0.250,0.194,10.841,0.430,0.313,1777,460,38.701,0.250,1.287,0.777,0.729
38,5.383E-4,3.940,0.430,0.124,0.030,0.023,37.732,0.441,0.039,2747,311,56.889,0.030,1.312,0.762,0.685
39,0.031,10.831,0.499,1.034,0.310,0.129,12.812,0.369,0.335,7471,414,18.667,0.153,2.397,0.417,0.810
40,0.008,7.999,0.508,0.414,0.149,0.067,60.463,0.576,0.162,5569,405,59.123,0.081,2.230,0.448,0.869
41,0.037,2.034,0.615,1.344,0.321,0.148,105.202,0.259,0.367,1390,308,103.982,0.201,2.169,0.461,0.706
42,0.014,7.240,0.543,0.558,0.173,0.106,43.055,0.577,0.187,4993,403,31.866,0.115,1.635,0.612,0.861
43,0.103,10.367,0.657,2.261,0.445,0.295,135.678,0.253,0.539,7119,338,136.612,0.317,1.510,0.662,0.826
44,0.007,1.385,0.511,0.343,0.113,0.077,21.817,0.726,0.123,929,377,33.136,0.087,1.475,0.678,0.919
45,0.021,10.702,0.622,0.975,0.254,0.106,145.413,0.280,0.291,7418,376,146.232,0.158,2.386,0.419,0.659
46,0.017,10.055,0.610,0.585,0.205,0.108,125.654,0.638,0.217,6993,353,120.964,0.121,1.893,0.528,0.902
47,0.010,2.784,0.577,0.447,0.167,0.078,53.323,0.638,0.169,1928,455,58.870,0.080,2.147,0.466,0.918
48,4.544E-4,9.454,0.545,0.083,0.031,0.019,151.592,0.824,0.032,6598,377,153.435,0.020,1.656,0.604,0.910
49,0.016,1.567,0.605,0.526,0.157,0.127,13.159,0.713,0.179,1028,435,20.610,0.135,1.232,0.811,0.929
50,0.009,0.131,0.587,0.404,0.152,0.075,19.633,0.688,0.160,34,432,21.516,0.082,2.033,0.492,0.951
51,0.006,0.777,0.608,0.355,0.137,0.055,84.504,0.597,0.144,532,476,84.857,0.062,2.483,0.403,0.920
52,0.009,8.740,0.634,0.440,0.174,0.068,76.392,0.606,0.178,6093,506,75.069,0.071,2.549,0.392,0.941
53,0.021,1.294,0.635,0.713,0.305,0.086,172.137,0.512,0.298,806,449,175.875,0.090,3.530,0.283,0.953
54,0.006,9.113,0.637,0.290,0.095,0.074,48.621,0.826,0.102,6349,476,54.744,0.078,1.292,0.774,0.951
55,0.008,0.194,0.656,0.433,0.157,0.068,0.949,0.562,0.155,82,447,166.092,0.070,2.304,0.434,0.897
56,0.008,9.615,0.659,0.411,0.159,0.064,7.705,0.595,0.168,6670,482,12.265,0.070,2.492,0.401,0.926
57,0.026,3.064,0.716,0.881,0.240,0.141,10.552,0.428,0.254,2063,527,25.699,0.160,1.706,0.586,0.861
58,0.066,11.100,0.834,2.004,0.363,0.230,171.793,0.206,0.459,7630,617,4.289,0.299,1.575,0.635,0.704
59,0.009,10.071,0.760,0.438,0.179,0.064,139.880,0.585,0.177,6990,499,148.241,0.069,2.817,0.355,0.909
60,0.074,9.942,0.882,1.856,0.455,0.206,147.756,0.269,0.451,6804,541,145.856,0.247,2.208,0.453,0.765
61,0.013,3.369,0.787,0.495,0.176,0.096,145.868,0.681,0.188,2298,511,147.763,0.105,1.831,0.546,0.929
62,0.015,2.667,0.802,0.509,0.162,0.116,51.649,0.714,0.170,1810,594,35.426,0.117,1.392,0.718,0.926
63,0.008,1.712,0.760,0.367,0.136,0.075,8.811,0.748,0.142,1147,531,8.702,0.078,1.822,0.549,0.952
64,0.013,6.255,0.835,0.528,0.195,0.083,67.115,0.573,0.215,4334,648,69.756,0.086,2.364,0.423,0.915
65,0.008,5.308,0.796,0.456,0.187,0.051,34.271,0.459,0.197,3660,602,38.204,0.057,3.640,0.275,0.894
66,0.008,9.088,0.854,0.396,0.152,0.066,131.061,0.626,0.158,6316,560,131.332,0.072,2.317,0.432,0.912
67,0.006,7.989,0.843,0.331,0.104,0.079,9.588,0.746,0.116,5550,573,170.074,0.084,1.318,0.759,0.949
68,0.004,4.379,0.841,0.263,0.089,0.058,18.215,0.733,0.093,3025,594,4.399,0.061,1.529,0.654,0.929
69,0.009,10.307,0.852,0.557,0.246,0.048,165.538,0.372,0.243,7119,572,167.435,0.055,5.174,0.193,0.860
70,0.032,5.863,0.968,0.912,0.349,0.115,45.922,0.478,0.352,4033,780,51.267,0.134,3.033,0.330,0.848
71,0.022,2.390,0.965,0.695,0.252,0.111,94.069,0.572,0.260,1649,587,105.642,0.116,2.272,0.440,0.892
72,0.081,2.110,1.123,1.429,0.563,0.182,116.617,0.496,0.590,1408,590,114.019,0.199,3.090,0.324,0.921
73,0.038,1.265,0.997,0.875,0.311,0.154,56.338,0.618,0.328,809,793,43.939,0.163,2.013,0.497,0.926
74,0.022,4.430,0.975,0.624,0.225,0.124,120.081,0.705,0.226,3089,606,107.289,0.130,1.823,0.549,0.944
75,0.026,10.262,1.019,0.734,0.275,0.120,8.462,0.606,0.283,7079,723,10.798,0.124,2.289,0.437,0.915
76,0.008,3.594,1.028,0.407,0.150,0.069,87.152,0.612,0.152,2510,771,85.147,0.079,2.184,0.458,0.885
77,0.018,4.761,1.053,0.599,0.216,0.105,125.399,0.625,0.221,3282,670,132.374,0.117,2.060,0.485,0.891
78,0.014,10.879,1.011,0.526,0.189,0.095,179.276,0.643,0.200,7541,680,175.066,0.099,1.982,0.505,0.934
79,0.016,6.521,1.030,0.568,0.198,0.106,173.376,0.639,0.222,4481,724,2.217,0.107,1.873,0.534,0.929
80,0.035,11.111,1.069,0.781,0.245,0.181,32.473,0.715,0.258,7694,804,33.690,0.192,1.356,0.738,0.926
81,0.009,1.428,1.030,0.412,0.145,0.082,178.099,0.688,0.148,950,705,162.613,0.082,1.774,0.564,0.925
82,0.017,4.326,1.085,0.589,0.230,0.092,149.067,0.601,0.236,2956,710,151.417,0.094,2.500,0.400,0.932
83,0.008,3.148,1.091,0.473,0.201,0.048,130.654,0.422,0.199,2150,710,129.174,0.052,4.232,0.236,0.867
84,0.006,3.334,1.069,0.317,0.114,0.066,45.529,0.734,0.125,2297,773,42.672,0.072,1.744,0.573,0.941
85,0.003,7.639,1.061,0.203,0.062,0.053,81.330,0.790,0.067,5324,761,43.264,0.053,1.174,0.852,0.923
86,0.012,9.211,1.106,0.470,0.154,0.100,85.870,0.686,0.159,6439,830,79.603,0.100,1.538,0.650,0.916
87,0.020,6.002,1.188,0.810,0.213,0.121,104.098,0.388,0.252,4174,730,114.821,0.158,1.756,0.569,0.754
88,0.006,2.307,1.105,0.309,0.117,0.061,35.682,0.735,0.118,1581,797,36.591,0.066,1.917,0.522,0.935
89,0.005,8.988,1.123,0.293,0.101,0.066,47.754,0.761,0.108,6252,808,41.257,0.068,1.545,0.647,0.935
90,0.005,6.668,1.133,0.291,0.092,0.069,140.865,0.743,0.095,4635,773,141.746,0.072,1.328,0.753,0.907
91,0.006,7.658,1.144,0.327,0.113,0.064,10.248,0.661,0.115,5313,807,7.125,0.072,1.773,0.564,0.860
92,0.006,1.474,1.155,0.332,0.112,0.067,132.987,0.670,0.123,993,779,136.878,0.074,1.679,0.595,0.897
93,0.017,3.394,1.180,0.650,0.252,0.087,25.452,0.511,0.256,2304,884,32.005,0.096,2.903,0.344,0.864
94,0.008,9.626,1.163,0.354,0.130,0.073,30.737,0.752,0.132,6695,846,40.601,0.078,1.778,0.562,0.949
95,0.004,0.426,1.182,0.275,0.102,0.047,20.562,0.627,0.101,270,849,39.806,0.050,2.174,0.460,0.884
96,0.007,10.952,1.183,0.365,0.133,0.066,176.807,0.652,0.138,7610,810,163.072,0.070,2.012,0.497,0.895
97,0.081,0.842,1.344,1.289,0.442,0.234,118.897,0.614,0.489,498,805,114.916,0.257,1.888,0.530,0.933
98,0.012,9.893,1.239,0.441,0.133,0.114,80.361,0.770,0.140,6919,816,92.337,0.120,1.166,0.857,0.937
99,0.041,6.790,1.336,1.184,0.355,0.147,55.714,0.367,0.405,4691,1092,75.669,0.193,2.416,0.414,0.744
100,0.098,1.814,1.401,2.210,0.438,0.284,128.810,0.251,0.520,1185,826,118.610,0.319,1.543,0.648,0.800
101,0.010,7.353,1.237,0.427,0.168,0.075,179.276,0.680,0.164,5087,850,165.358,0.073,2.248,0.445,0.962
102,0.010,6.367,1.338,0.430,0.129,0.101,83.434,0.695,0.147,4424,983,82.185,0.107,1.276,0.784,0.922
103,0.016,10.573,1.355,0.534,0.160,0.128,109.539,0.707,0.181,7381,893,109.867,0.139,1.251,0.799,0.931
104,0.011,4.445,1.345,0.447,0.148,0.094,24.227,0.683,0.157,3067,970,36.870,0.101,1.579,0.633,0.926
105,0.015,6.078,1.368,0.502,0.168,0.112,55.943,0.736,0.181,4226,1016,57.563,0.120,1.498,0.668,0.936
106,0.018,7.992,1.362,0.565,0.185,0.125,167.416,0.714,0.201,5515,938,167.648,0.133,1.479,0.676,0.921
107,0.038,7.515,1.391,0.823,0.284,0.170,165.964,0.705,0.299,5147,948,164.168,0.181,1.674,0.597,0.937
108,0.030,1.319,1.471,1.086,0.274,0.139,88.531,0.319,0.318,892,1138,86.135,0.173,1.964,0.509,0.789
109,0.009,9.312,1.405,0.465,0.191,0.062,95.921,0.539,0.191,6498,919,96.009,0.070,3.088,0.324,0.887
110,0.018,3.291,1.412,0.570,0.209,0.107,115.965,0.682,0.212,2264,929,120.033,0.118,1.950,0.513,0.926
111,0.056,0.704,1.568,1.305,0.369,0.192,91.495,0.410,0.421,452,928,106.401,0.219,1.923,0.520,0.831
112,0.003,10.178,1.375,0.234,0.085,0.041,32.250,0.627,0.091,7087,980,42.455,0.046,2.070,0.483,0.902
113,0.017,9.920,1.416,0.991,0.161,0.136,161.966,0.221,0.236,6843,977,6.263,0.201,1.182,0.846,0.567
