 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	5.622	2.238	1.905	10.687	3.309	2.164	10.630	0.619	3.458	72	358	27.936	2.366	1.529	0.654	0.967
2	1.934	16.492	1.919	5.994	1.879	1.310	163.214	0.677	2.007	2459	201	141.710	1.264	1.434	0.697	0.955
3	1.331	22.422	1.994	4.932	1.676	1.012	135.058	0.688	1.762	3429	200	120.928	1.082	1.656	0.604	0.954
4	4.384	6.566	2.163	8.882	3.117	1.791	178.779	0.698	3.225	790	245	167.201	1.850	1.740	0.575	0.959
5	1.791	13.055	1.816	6.361	2.549	0.895	172.778	0.556	2.445	1845	284	172.504	0.939	2.848	0.351	0.941
6	1.746	19.487	2.012	5.730	2.061	1.079	153.805	0.668	2.073	2887	299	169.001	1.094	1.911	0.523	0.953
7	1.864	9.883	2.007	5.620	1.791	1.325	0.594	0.742	1.855	1409	277	152.113	1.301	1.352	0.740	0.970
8	1.628E-4	9.288	2.845	0.036	0.014	0.014	0.000	1.000	0.018	1455	445	135.000	0.013	1.000	1.000	1.000
9	4.476E-4	1.464	2.880	0.076	0.029	0.020	0.000	0.976	0.033	227	451	168.690	0.019	1.469	0.681	0.846
10	4.069E-5	1.515	2.874	0.018	0.007	0.007	0.000	1.000	0.009	237	450	135.000	0.006	1.000	1.000	1.000
11	1.628E-4	18.129	3.291	0.036	0.014	0.014	0.000	1.000	0.018	2841	515	135.000	0.013	1.000	1.000	1.000
12	4.069E-4	0.797	3.660	0.067	0.027	0.019	180.000	1.000	0.029	123	573	153.435	0.019	1.384	0.723	0.909
13	0.855	17.678	4.503	3.954	1.532	0.711	131.971	0.688	1.491	2715	602	121.174	0.714	2.155	0.464	0.961
14	0.510	23.010	4.283	2.834	0.916	0.709	123.909	0.799	0.958	3542	633	143.664	0.690	1.292	0.774	0.966
15	0.453	21.387	4.316	2.584	0.818	0.704	102.109	0.851	0.834	3318	620	113.429	0.711	1.161	0.861	0.975
16	4.476E-4	5.647	3.953	0.076	0.024	0.023	135.000	0.976	0.029	884	618	116.565	0.026	1.035	0.966	0.846
17	0.849	15.474	4.435	3.741	1.133	0.953	156.808	0.762	1.203	2331	692	7.313	0.953	1.189	0.841	0.961
18	0.444	19.673	4.420	2.854	1.026	0.551	151.925	0.684	0.997	3008	667	168.187	0.543	1.863	0.537	0.947
19	0.927	13.609	4.576	3.859	1.224	0.964	140.513	0.782	1.292	2052	651	127.379	0.963	1.270	0.787	0.966
20	0.002	14.443	4.129	0.141	0.053	0.036	45.930	0.948	0.059	2261	651	40.601	0.041	1.479	0.676	0.902
21	3.662E-4	7.696	4.175	0.062	0.022	0.022	0.000	1.000	0.027	1205	653	135.000	0.019	1.000	1.000	1.000
22	0.582	12.049	4.665	3.100	0.892	0.831	38.935	0.762	0.985	1839	800	58.782	0.823	1.073	0.932	0.959
23	0.004	2.396	4.490	0.239	0.082	0.060	21.281	0.842	0.087	369	706	17.103	0.067	1.366	0.732	0.862
24	0.001	2.730	4.493	0.116	0.040	0.036	180.000	1.000	0.043	427	701	116.565	0.038	1.092	0.916	0.903
25	0.985	7.591	5.093	4.202	1.552	0.808	148.574	0.701	1.514	1081	758	156.675	0.788	1.921	0.521	0.955
26	2.441E-4	9.182	4.497	0.049	0.022	0.014	0.000	1.000	0.023	1438	704	146.310	0.013	1.500	0.667	1.000
27	0.819	9.823	4.981	3.709	1.196	0.872	4.763	0.748	1.230	1436	764	170.147	0.880	1.372	0.729	0.965
28	1.511	2.092	5.062	5.111	1.859	1.035	173.333	0.727	1.791	191	827	12.551	1.008	1.796	0.557	0.963
