 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	0.001	8.565	0.032	0.116	0.043	0.034	134.999	1.000	0.046	1342	2	123.690	0.036	1.263	0.792	0.903
2	3.656E-4	4.809	0.211	0.067	0.025	0.019	110.301	1.000	0.029	754	31	116.565	0.019	1.340	0.746	0.857
3	0.460	25.524	0.827	2.704	0.843	0.695	145.471	0.790	0.887	3934	118	172.569	0.708	1.213	0.824	0.952
4	0.002	2.289	0.518	0.154	0.062	0.032	6.393	0.819	0.065	354	82	11.310	0.032	1.947	0.514	0.894
5	5.686E-4	12.843	0.515	0.083	0.030	0.024	144.485	1.000	0.036	2013	79	135.000	0.025	1.239	0.807	0.933
6	1.625E-4	2.938	0.516	0.036	0.014	0.014	0.000	1.000	0.018	460	80	135.000	0.013	1.000	1.000	1.000
7	6.499E-4	24.878	0.607	0.094	0.030	0.028	60.767	0.927	0.034	3902	93	111.801	0.031	1.076	0.929	0.821
8	0.422	23.798	0.940	2.722	1.009	0.533	9.112	0.717	1.055	3656	171	11.853	0.591	1.891	0.529	0.953
9	0.714	21.831	1.107	3.458	1.222	0.743	173.628	0.750	1.258	3331	166	3.775	0.793	1.644	0.608	0.955
10	0.427	16.426	1.231	2.857	1.111	0.489	55.406	0.657	1.128	2528	267	57.926	0.504	2.273	0.440	0.941
11	1.549	1.452	1.410	5.211	1.833	1.076	154.641	0.717	1.845	90	162	148.561	1.092	1.704	0.587	0.954
12	0.455	19.907	1.115	2.958	1.094	0.530	18.173	0.654	1.119	3036	206	18.951	0.539	2.065	0.484	0.932
13	1.625E-4	3.040	0.867	0.036	0.014	0.014	0.000	1.000	0.018	476	135	135.000	0.013	1.000	1.000	1.000
14	0.002	3.090	0.898	0.158	0.055	0.042	102.675	0.925	0.060	482	137	122.005	0.045	1.314	0.761	0.909
15	0.517	5.293	1.329	3.133	1.126	0.584	133.500	0.661	1.204	763	140	133.498	0.620	1.926	0.519	0.944
16	0.685	7.036	1.446	3.423	0.978	0.891	13.133	0.734	1.096	1024	278	17.592	0.925	1.097	0.912	0.957
17	0.882	8.866	1.383	4.046	1.407	0.798	177.340	0.677	1.443	1287	229	3.292	0.871	1.763	0.567	0.926
18	0.675	10.941	1.340	3.803	1.430	0.601	175.598	0.587	1.511	1606	217	5.326	0.661	2.379	0.420	0.904
19	0.775	3.373	1.419	3.929	1.285	0.768	177.055	0.631	1.384	428	230	6.078	0.797	1.672	0.598	0.928
20	0.655	13.127	1.402	3.566	1.267	0.658	166.183	0.647	1.346	1959	214	171.832	0.705	1.926	0.519	0.934
21	2.437E-4	12.061	1.115	0.049	0.022	0.014	0.000	1.000	0.023	1891	174	146.310	0.013	1.500	0.667	1.000
22	0.496	15.205	1.413	2.926	1.094	0.578	166.934	0.729	1.101	2298	204	160.726	0.607	1.894	0.528	0.955
23	2.031E-4	10.172	1.126	0.049	0.020	0.013	71.565	1.000	0.023	1595	178	56.310	0.013	1.553	0.644	0.909
24	0.309	18.113	1.391	2.274	0.790	0.498	14.924	0.752	0.850	2777	231	12.995	0.511	1.586	0.631	0.949
25	4.468E-4	7.929	1.335	0.071	0.028	0.020	164.929	1.000	0.032	1242	208	143.130	0.019	1.372	0.729	0.957
26	0.004	21.464	1.436	0.263	0.102	0.056	12.611	0.814	0.103	3360	228	21.801	0.061	1.824	0.548	0.902
27	0.001	25.097	1.792	0.116	0.038	0.036	90.000	0.993	0.043	3937	278	116.565	0.038	1.065	0.939	0.867
28	8.123E-4	7.520	1.835	0.108	0.035	0.030	134.999	0.873	0.040	1179	285	108.435	0.034	1.156	0.865	0.769
29	5.686E-4	15.366	1.982	0.080	0.031	0.023	45.000	1.000	0.036	2409	313	45.000	0.025	1.319	0.758	0.933
30	7.311E-4	18.720	2.194	0.094	0.032	0.029	25.406	1.000	0.037	2935	346	30.964	0.032	1.130	0.885	0.857
31	0.330	13.776	2.881	2.485	0.937	0.448	105.168	0.672	0.937	2146	377	101.768	0.460	2.092	0.478	0.944
32	0.183	24.433	2.571	2.083	0.837	0.278	169.664	0.530	0.847	3770	393	166.068	0.301	3.005	0.333	0.931
33	0.220	20.695	2.746	1.899	0.637	0.440	149.814	0.768	0.658	3201	404	158.405	0.456	1.448	0.691	0.949
34	5.280E-4	19.445	2.544	0.076	0.028	0.024	135.000	1.000	0.032	3050	397	126.870	0.025	1.159	0.863	0.897
35	0.279	19.297	2.959	2.233	0.825	0.430	107.191	0.702	0.861	3010	400	105.887	0.465	1.921	0.521	0.950
36	0.468	12.266	2.965	2.799	0.875	0.681	41.369	0.751	0.974	1856	502	30.256	0.720	1.284	0.779	0.941
37	0.092	21.745	2.723	1.197	0.412	0.284	9.691	0.808	0.428	3380	431	4.268	0.287	1.451	0.689	0.942
38	0.323	23.063	2.857	2.285	0.826	0.497	17.335	0.776	0.831	3558	474	20.659	0.519	1.660	0.602	0.966
39	0.698	17.129	2.970	3.719	1.369	0.649	172.796	0.634	1.449	2578	433	167.553	0.678	2.109	0.474	0.933
40	0.457	10.556	3.048	2.943	1.052	0.553	10.718	0.663	1.114	1578	512	11.889	0.560	1.901	0.526	0.948
41	2.843E-4	22.602	2.742	0.058	0.020	0.018	0.000	1.000	0.023	3545	429	123.690	0.019	1.069	0.936	0.875
42	0.301	5.479	3.045	2.296	0.658	0.583	118.954	0.719	0.756	833	434	114.404	0.629	1.128	0.886	0.950
43	0.259	8.799	3.135	1.993	0.668	0.493	25.133	0.819	0.696	1331	518	15.945	0.510	1.354	0.738	0.955
44	0.231	15.210	3.074	2.004	0.697	0.421	170.181	0.721	0.731	2326	465	167.417	0.440	1.657	0.603	0.948
45	0.371	7.254	3.135	2.606	0.968	0.487	13.594	0.685	1.033	1058	506	14.294	0.529	1.987	0.503	0.940
46	0.361	4.060	3.219	2.368	0.805	0.572	24.076	0.810	0.851	576	532	22.917	0.592	1.407	0.711	0.958
47	0.316	2.679	3.211	2.600	1.031	0.390	160.526	0.588	1.013	346	487	167.276	0.422	2.642	0.378	0.922
48	0.394	0.938	3.449	2.631	0.921	0.545	163.522	0.716	1.008	75	526	166.842	0.582	1.692	0.591	0.951
49	0.349	25.333	3.563	2.554	1.007	0.441	137.634	0.672	1.010	3906	516	144.504	0.451	2.283	0.438	0.945
50	5.686E-4	13.583	3.213	0.081	0.030	0.024	155.642	1.000	0.034	2129	503	158.199	0.025	1.264	0.791	0.848
51	0.001	4.907	3.237	0.119	0.041	0.037	164.590	1.000	0.046	767	506	146.310	0.038	1.107	0.903	0.892
52	0.228	23.512	3.732	1.978	0.712	0.408	9.183	0.733	0.756	3630	604	17.671	0.433	1.747	0.573	0.943
53	0.001	11.595	3.596	0.123	0.045	0.032	108.194	0.943	0.050	1817	561	129.806	0.032	1.408	0.710	0.903
54	4.874E-4	6.795	3.625	0.076	0.027	0.023	19.805	1.000	0.032	1064	570	36.870	0.025	1.135	0.881	0.857
55	0.271	20.536	3.998	2.292	0.833	0.415	140.681	0.649	0.897	3174	575	137.015	0.452	2.010	0.498	0.911
56	1.219E-4	18.982	3.757	0.044	0.022	0.007	90.000	0.809	0.020	2978	588	108.435	0.006	3.000	0.333	1.000
57	0.258	21.857	3.954	2.342	0.908	0.362	170.539	0.592	0.930	3352	612	173.313	0.385	2.507	0.399	0.905
58	8.123E-5	19.164	3.814	0.027	0.014	0.007	0.000	1.000	0.014	3006	598	153.435	0.006	2.000	0.500	1.000
59	0.232	19.020	4.144	2.143	0.773	0.382	31.240	0.635	0.822	2922	683	35.538	0.422	2.024	0.494	0.926
60	5.686E-4	15.565	3.945	0.080	0.027	0.027	90.000	1.000	0.032	2441	617	126.870	0.025	1.020	0.981	0.933
61	0.001	6.298	3.970	0.121	0.044	0.036	149.665	1.000	0.049	985	621	156.801	0.038	1.226	0.816	0.870
62	0.239	10.483	4.412	1.970	0.699	0.435	104.626	0.773	0.725	1632	633	104.769	0.466	1.605	0.623	0.957
63	0.334	17.234	4.347	2.533	0.848	0.502	174.474	0.655	0.938	2629	675	170.218	0.557	1.691	0.592	0.925
64	0.350	8.822	4.357	2.591	1.004	0.444	10.204	0.655	1.038	1300	698	8.826	0.463	2.260	0.442	0.951
65	0.451	13.863	4.427	3.137	1.208	0.476	18.878	0.576	1.189	2095	724	17.464	0.553	2.539	0.394	0.875
