 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	5.659E-4	0.321	0.012	0.077	0.027	0.027	0.000	1.000	0.034	39	0	135.000	0.024	1.000	1.000	1.000
2	1.258E-4	1.094	0.004	0.034	0.018	0.009	0.000	1.000	0.018	137	0	153.435	0.008	2.000	0.500	1.000
3	0.001	12.031	0.010	0.147	0.061	0.025	179.350	0.699	0.065	1513	0	165.964	0.024	2.470	0.405	0.905
4	6.288E-5	16.751	0.004	0.022	0.009	0.009	0.000	1.000	0.011	2112	0	135.000	0.008	1.000	1.000	1.000
5	2.515E-4	17.762	0.008	0.045	0.018	0.018	0.000	1.000	0.022	2239	0	135.000	0.016	1.000	1.000	1.000
6	6.288E-5	2.732	0.012	0.022	0.009	0.009	0.000	1.000	0.011	344	1	135.000	0.008	1.000	1.000	1.000
7	0.001	8.376	0.092	0.117	0.042	0.036	135.000	1.000	0.046	1055	9	120.964	0.039	1.161	0.861	0.884
8	5.030E-4	5.992	0.132	0.072	0.028	0.023	45.000	1.000	0.034	754	18	45.000	0.024	1.229	0.814	0.941
9	2.515E-4	13.116	0.127	0.045	0.018	0.018	0.000	1.000	0.022	1653	15	135.000	0.016	1.000	1.000	1.000
10	2.515E-4	6.209	0.151	0.045	0.018	0.018	0.000	1.000	0.022	782	18	135.000	0.016	1.000	1.000	1.000
11	0.002	12.134	0.190	0.142	0.051	0.039	99.541	0.981	0.057	1528	21	123.690	0.040	1.294	0.773	0.909
12	4.401E-4	0.936	0.197	0.077	0.033	0.017	98.350	0.943	0.035	117	23	116.565	0.016	1.936	0.517	0.933
13	5.030E-4	4.900	0.210	0.078	0.028	0.023	0.000	1.000	0.033	616	26	165.964	0.024	1.195	0.837	0.800
14	6.288E-5	0.940	0.234	0.022	0.009	0.009	0.000	1.000	0.011	118	29	135.000	0.008	1.000	1.000	1.000
15	0.004	12.368	0.267	0.225	0.075	0.066	54.958	0.967	0.082	1557	38	60.945	0.071	1.128	0.886	0.905
16	0.003	7.364	0.272	0.193	0.070	0.050	30.460	0.930	0.075	924	35	18.435	0.056	1.394	0.717	0.880
17	1.886E-4	6.408	0.260	0.045	0.019	0.013	135.000	1.000	0.022	807	32	135.000	0.016	1.464	0.683	0.857
18	3.773E-4	35.889	0.297	0.061	0.027	0.018	90.000	1.000	0.029	4525	36	123.690	0.016	1.500	0.667	1.000
19	0.005	1.737	0.338	0.263	0.093	0.066	127.852	0.877	0.102	214	38	128.660	0.073	1.418	0.705	0.880
20	2.515E-4	15.629	0.301	0.045	0.018	0.018	0.000	1.000	0.022	1970	37	135.000	0.016	1.000	1.000	1.000
21	2.515E-4	12.894	0.365	0.045	0.018	0.018	0.000	1.000	0.022	1625	45	135.000	0.016	1.000	1.000	1.000
22	0.002	5.548	0.398	0.133	0.048	0.040	70.395	1.000	0.053	698	53	63.435	0.040	1.222	0.818	0.906
23	3.144E-4	1.127	0.402	0.061	0.025	0.016	71.565	1.000	0.029	141	52	56.310	0.016	1.553	0.644	0.909
24	2.515E-4	4.433	0.412	0.045	0.018	0.018	0.000	1.000	0.022	558	51	135.000	0.016	1.000	1.000	1.000
25	0.001	1.533	0.433	0.117	0.042	0.036	135.000	1.000	0.046	192	52	120.964	0.039	1.161	0.861	0.884
26	0.002	12.986	0.457	0.149	0.056	0.040	85.284	1.000	0.060	1636	61	66.801	0.040	1.391	0.719	0.903
27	3.773E-4	13.659	0.436	0.061	0.027	0.018	0.000	1.000	0.029	1721	54	146.310	0.016	1.500	0.667	1.000
28	4.401E-4	0.369	0.466	0.072	0.024	0.023	0.000	1.000	0.029	46	57	123.690	0.024	1.069	0.936	0.875
29	4.401E-4	17.853	0.485	0.072	0.024	0.023	0.000	1.000	0.029	2250	60	123.690	0.024	1.069	0.936	0.875
30	8.174E-4	5.907	0.500	0.094	0.035	0.030	45.000	1.000	0.040	743	65	36.870	0.032	1.159	0.863	0.897
31	6.917E-4	4.034	0.510	0.094	0.030	0.029	135.000	0.976	0.035	508	62	116.565	0.032	1.035	0.966	0.846
32	5.030E-4	10.526	0.505	0.072	0.028	0.023	135.000	1.000	0.034	1326	62	135.000	0.024	1.229	0.814	0.941
33	7.545E-4	0.340	0.512	0.099	0.034	0.028	34.722	0.967	0.040	41	66	36.870	0.032	1.218	0.821	0.889
34	8.174E-4	1.054	0.540	0.094	0.035	0.030	45.000	1.000	0.040	131	70	36.870	0.032	1.159	0.863	0.897
35	1.086	8.283	1.208	4.228	1.274	1.086	20.703	0.763	1.328	954	154	175.549	1.121	1.173	0.852	0.948
36	0.001	8.758	0.556	0.117	0.038	0.036	0.000	0.985	0.043	1103	68	111.801	0.039	1.044	0.957	0.850
37	0.001	0.386	0.571	0.135	0.049	0.034	34.710	0.916	0.053	46	74	26.565	0.039	1.417	0.706	0.808
38	0.002	7.000	0.613	0.160	0.051	0.047	67.453	0.929	0.058	882	81	74.055	0.048	1.101	0.909	0.857
39	0.002	15.805	0.611	0.139	0.047	0.044	1.880E-13	1.000	0.053	1990	76	153.435	0.048	1.065	0.939	0.867
40	0.003	7.959	0.662	0.241	0.095	0.045	89.790	0.735	0.098	1003	90	75.964	0.055	2.090	0.479	0.831
41	0.633	18.044	1.089	3.222	1.024	0.788	157.508	0.767	1.077	2239	79	126.617	0.783	1.300	0.769	0.939
42	5.659E-4	7.906	0.657	0.083	0.033	0.022	6.047	1.000	0.035	995	82	153.435	0.024	1.536	0.651	0.857
43	3.144E-4	8.054	0.657	0.061	0.025	0.016	161.565	1.000	0.029	1014	82	146.310	0.016	1.553	0.644	0.909
44	5.030E-4	11.358	0.679	0.072	0.028	0.023	135.000	1.000	0.034	1431	84	135.000	0.024	1.229	0.814	0.941
45	2.515E-4	0.977	0.686	0.061	0.022	0.015	90.000	0.857	0.025	123	85	108.435	0.016	1.468	0.681	0.800
46	5.030E-4	2.469	0.703	0.072	0.028	0.023	135.000	1.000	0.034	310	87	135.000	0.024	1.229	0.814	0.941
47	0.001	4.977	0.735	0.117	0.042	0.036	45.001	1.000	0.046	625	94	30.964	0.039	1.161	0.861	0.884
48	3.144E-4	21.457	0.732	0.061	0.025	0.016	71.565	1.000	0.029	2705	94	56.310	0.016	1.553	0.644	0.909
49	8.174E-4	3.844	0.748	0.099	0.038	0.028	135.000	1.000	0.045	483	92	135.000	0.032	1.370	0.730	0.929
50	6.917E-4	7.983	0.764	0.099	0.040	0.022	76.717	0.887	0.043	1006	99	68.199	0.024	1.772	0.564	0.846
51	0.003	21.314	0.772	0.196	0.082	0.042	1.357	0.884	0.083	2683	99	16.699	0.040	1.930	0.518	0.935
52	0.425	21.479	1.126	2.597	0.791	0.684	136.177	0.792	0.836	2667	109	132.310	0.715	1.157	0.865	0.948
53	0.563	14.191	1.233	2.990	0.953	0.752	147.491	0.791	0.995	1729	149	168.511	0.756	1.267	0.790	0.955
54	0.332	16.040	1.140	2.421	0.708	0.597	46.967	0.712	0.790	2005	197	79.592	0.604	1.187	0.843	0.917
55	6.288E-5	6.007	0.797	0.022	0.009	0.009	0.000	1.000	0.011	757	100	135.000	0.008	1.000	1.000	1.000
56	0.002	0.577	0.841	0.144	0.050	0.042	133.610	0.993	0.057	70	104	146.310	0.046	1.206	0.829	0.852
57	9.432E-4	1.726	0.835	0.112	0.038	0.032	45.000	0.942	0.043	215	106	21.801	0.034	1.191	0.840	0.811
58	0.486	10.229	1.195	2.758	0.808	0.766	22.987	0.803	0.877	1235	143	165.336	0.761	1.054	0.948	0.949
59	0.449	12.322	1.327	2.747	1.023	0.559	120.491	0.748	1.006	1534	103	104.146	0.570	1.828	0.547	0.961
60	0.407	19.813	1.153	2.619	0.970	0.534	141.516	0.746	1.026	2444	108	136.565	0.561	1.815	0.551	0.964
61	0.008	5.076	0.932	0.356	0.139	0.077	115.695	0.836	0.142	636	110	116.565	0.085	1.790	0.559	0.915
62	0.802	24.532	1.395	3.599	1.215	0.840	163.338	0.778	1.255	3018	185	3.621	0.823	1.448	0.691	0.968
63	1.886E-4	4.756	0.913	0.045	0.019	0.013	135.000	1.000	0.022	599	114	135.000	0.016	1.464	0.683	0.857
64	0.423	22.923	1.294	2.521	0.801	0.673	29.702	0.836	0.834	2852	197	39.596	0.676	1.190	0.840	0.954
65	4.401E-4	0.432	0.974	0.072	0.024	0.023	0.000	1.000	0.029	54	121	123.690	0.024	1.069	0.936	0.875
66	2.515E-4	4.242	1.007	0.045	0.018	0.018	0.000	1.000	0.022	534	126	135.000	0.016	1.000	1.000	1.000
67	1.886E-4	2.404	1.030	0.045	0.019	0.013	135.000	1.000	0.022	302	129	135.000	0.016	1.464	0.683	0.857
68	9.432E-4	0.829	1.072	0.106	0.042	0.029	27.549	1.000	0.046	102	137	30.964	0.032	1.435	0.697	0.882
69	6.288E-4	0.184	1.080	0.090	0.032	0.025	45.000	0.982	0.035	21	137	26.565	0.028	1.241	0.806	0.800
70	2.515E-4	0.706	1.221	0.045	0.018	0.018	0.000	1.000	0.022	88	153	135.000	0.016	1.000	1.000	1.000
71	2.515E-4	0.864	1.229	0.045	0.018	0.018	0.000	1.000	0.022	108	154	135.000	0.016	1.000	1.000	1.000
72	5.659E-4	0.617	1.274	0.078	0.031	0.023	20.301	1.000	0.035	76	162	26.565	0.024	1.340	0.746	0.857
73	2.515E-4	1.491	1.300	0.045	0.018	0.018	0.000	1.000	0.022	187	163	135.000	0.016	1.000	1.000	1.000
74	7.545E-4	4.250	1.310	0.094	0.035	0.027	32.067	1.000	0.040	534	167	36.870	0.032	1.281	0.780	0.857
75	4.401E-4	5.375	1.312	0.072	0.024	0.023	90.000	1.000	0.029	677	164	123.690	0.024	1.069	0.936	0.875
76	0.001	26.435	1.327	0.133	0.047	0.037	62.593	0.988	0.053	3332	170	63.435	0.040	1.276	0.784	0.863
77	8.174E-4	1.054	1.321	0.099	0.035	0.030	13.776	1.000	0.040	131	165	143.130	0.032	1.148	0.871	0.897
78	0.002	26.575	1.349	0.176	0.058	0.054	36.379	1.000	0.064	3348	172	29.745	0.056	1.065	0.939	0.907
79	0.907	26.708	1.819	3.978	1.178	0.980	165.371	0.720	1.291	3280	200	158.003	1.098	1.202	0.832	0.941
80	0.001	35.075	1.409	0.117	0.042	0.036	135.000	1.000	0.046	4422	175	120.964	0.039	1.161	0.861	0.884
81	7.545E-4	0.920	1.411	0.090	0.031	0.031	0.000	1.000	0.035	115	176	116.565	0.032	1.000	1.000	0.857
82	3.144E-4	0.216	1.412	0.056	0.025	0.016	161.565	1.000	0.029	26	177	146.310	0.016	1.553	0.644	0.909
83	2.515E-4	1.943	1.427	0.045	0.018	0.018	0.000	1.000	0.022	244	179	135.000	0.016	1.000	1.000	1.000
84	0.168	30.850	1.666	1.589	0.546	0.391	119.779	0.834	0.557	3869	184	129.806	0.411	1.398	0.715	0.961
85	0.002	0.815	1.454	0.166	0.063	0.036	155.408	0.800	0.068	99	182	159.444	0.043	1.756	0.569	0.824
86	6.288E-4	2.787	1.459	0.083	0.035	0.023	116.565	1.000	0.040	350	182	126.870	0.024	1.551	0.645	0.909
87	2.515E-4	3.449	1.483	0.045	0.018	0.018	0.000	1.000	0.022	434	186	135.000	0.016	1.000	1.000	1.000
88	0.003	7.346	1.517	0.198	0.066	0.061	43.649	1.000	0.075	922	193	32.005	0.063	1.091	0.917	0.909
89	0.146	33.733	1.685	1.519	0.541	0.343	173.082	0.795	0.560	4219	221	12.265	0.353	1.577	0.634	0.952
