 	Area	X	Y	Perim.	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	5.428	2.283	1.922	9.994	2.749	2.514	102.032	0.683	3.085	196	106	132.047	2.391	1.093	0.915	0.965
2	1.955	27.258	1.699	6.702	2.636	0.944	137.309	0.547	2.555	3605	134	151.908	0.977	2.791	0.358	0.936
3	7.175	14.027	2.061	12.493	3.843	2.377	33.563	0.578	4.143	1721	488	40.743	2.663	1.616	0.619	0.936
4	1.514	29.664	1.581	5.664	1.888	1.021	107.958	0.593	1.839	3995	134	138.835	1.009	1.850	0.541	0.919
5	2.523	5.979	1.699	6.932	2.041	1.574	21.045	0.660	2.409	701	329	27.028	1.778	1.296	0.771	0.931
6	2.490	18.216	2.036	7.785	2.826	1.122	154.294	0.516	2.913	2393	137	138.935	1.323	2.520	0.397	0.907
7	2.788	10.063	2.261	7.514	2.596	1.367	39.962	0.621	2.588	1229	399	18.790	1.373	1.899	0.526	0.929
8	0.024	29.062	1.339	0.894	0.342	0.088	107.964	0.370	0.358	3999	163	111.371	0.105	3.910	0.256	0.802
9	4.204E-4	5.193	1.360	0.066	0.026	0.021	135.000	1.000	0.031	715	186	135.000	0.022	1.229	0.814	0.941
10	2.158	21.787	2.359	6.451	2.110	1.302	138.284	0.652	2.166	2865	259	163.870	1.310	1.621	0.617	0.953
11	2.725	24.830	2.259	7.107	2.142	1.619	169.069	0.678	2.443	3292	221	146.499	1.537	1.323	0.756	0.943
12	0.002	29.114	1.565	0.171	0.071	0.031	112.643	0.747	0.075	4014	211	119.055	0.036	2.304	0.434	0.857
13	0.005	18.977	1.754	0.332	0.150	0.041	74.677	0.545	0.147	2615	252	69.775	0.048	3.681	0.272	0.850
14	0.006	29.191	1.773	0.346	0.142	0.057	114.355	0.668	0.149	4024	235	112.834	0.064	2.476	0.404	0.877
15	1.051E-4	18.448	2.657	0.031	0.016	0.008	0.000	1.000	0.016	2544	366	153.435	0.007	2.000	0.500	1.000
16	5.255E-4	19.328	2.940	0.086	0.032	0.021	172.312	0.887	0.037	2664	405	168.690	0.022	1.577	0.634	0.800
17	1.102	27.519	4.077	4.398	1.324	1.060	124.209	0.716	1.417	3694	537	165.182	1.052	1.249	0.801	0.934
18	1.137	29.529	4.128	4.411	1.416	1.023	86.995	0.735	1.463	4026	476	106.998	1.073	1.384	0.723	0.952
19	8.933E-4	12.555	3.675	0.126	0.053	0.021	162.188	0.713	0.055	1728	506	156.801	0.026	2.472	0.404	0.791
20	0.001	13.002	3.682	0.132	0.052	0.033	174.790	0.993	0.055	1790	507	156.801	0.036	1.552	0.644	0.881
21	0.003	12.512	3.711	0.210	0.091	0.038	163.334	0.764	0.094	1720	510	157.380	0.043	2.416	0.414	0.879
22	0.901	24.585	4.303	4.063	1.331	0.862	151.344	0.686	1.424	3292	600	176.205	0.904	1.543	0.648	0.922
23	1.752	21.686	4.735	6.818	2.456	0.908	147.358	0.473	2.430	2834	568	151.294	0.941	2.705	0.370	0.915
24	1.210	19.025	4.708	4.712	1.449	1.063	22.421	0.685	1.530	2520	633	167.412	1.039	1.362	0.734	0.926
25	0.001	26.885	4.075	0.121	0.047	0.030	154.046	0.943	0.052	3706	560	146.310	0.036	1.547	0.646	0.857
26	2.050	4.883	5.294	6.942	2.809	0.929	127.954	0.534	2.599	553	593	128.660	0.961	3.023	0.331	0.902
27	0.003	27.001	4.260	0.220	0.093	0.040	121.492	0.749	0.099	3721	582	126.027	0.048	2.330	0.429	0.873
28	5.255E-4	27.049	4.359	0.080	0.029	0.023	90.000	1.000	0.032	3731	599	116.565	0.022	1.236	0.809	0.909
29	1.455	13.493	5.372	6.156	1.971	0.940	42.184	0.482	2.244	1727	779	32.869	1.165	2.097	0.477	0.874
30	9.458E-4	27.110	4.385	0.115	0.048	0.025	157.529	0.895	0.052	3737	603	146.310	0.029	1.941	0.515	0.878
31	1.252	16.193	5.189	4.766	1.429	1.115	106.337	0.693	1.516	2235	611	91.644	1.145	1.281	0.780	0.928
32	1.051E-4	27.143	4.436	0.035	0.016	0.008	90.000	1.000	0.016	3744	611	116.565	0.007	2.000	0.500	1.000
33	1.502	2.314	5.258	6.815	2.307	0.829	141.348	0.407	2.429	180	649	143.985	0.898	2.782	0.359	0.898
34	1.718	7.852	5.394	5.820	1.608	1.360	58.318	0.637	1.824	1050	866	77.842	1.424	1.182	0.846	0.911
35	0.001	27.278	4.624	0.127	0.050	0.032	131.327	0.978	0.052	3761	635	123.690	0.036	1.544	0.648	0.857
36	1.515	10.532	5.409	5.111	1.749	1.103	46.409	0.729	1.780	1419	872	64.687	1.103	1.586	0.631	0.960
37	7.882E-4	1.499	5.234	0.150	0.060	0.017	173.850	0.439	0.062	203	720	159.444	0.024	3.617	0.277	0.600
38	6.305E-4	1.858	5.285	0.086	0.032	0.025	122.067	1.000	0.036	255	727	126.870	0.029	1.281	0.780	0.857
39	5.255E-5	1.751	5.310	0.021	0.008	0.008	0.000	1.000	0.010	241	732	135.000	0.007	1.000	1.000	1.000
40	5.780E-4	2.067	5.655	0.086	0.033	0.023	149.714	0.976	0.036	284	778	126.870	0.026	1.450	0.690	0.815
41	0.625	28.082	6.425	3.984	1.462	0.545	140.932	0.495	1.551	3783	805	138.789	0.669	2.685	0.372	0.886
42	0.722	25.832	6.465	4.256	1.801	0.511	144.971	0.501	1.768	3463	827	144.681	0.537	3.527	0.284	0.924
43	0.918	19.371	6.647	4.128	1.542	0.758	129.001	0.677	1.615	2595	830	133.363	0.766	2.035	0.491	0.965
44	0.497	23.713	6.513	2.927	0.868	0.730	130.863	0.729	0.984	3251	833	99.324	0.705	1.188	0.842	0.927
45	0.980	16.606	6.891	5.497	1.128	1.106	157.970	0.408	1.366	2186	960	3.652	1.141	1.019	0.981	0.887
46	6.305E-4	27.533	6.293	0.086	0.032	0.025	122.067	1.000	0.036	3797	866	126.870	0.029	1.281	0.780	0.857
47	0.708	21.992	6.719	3.436	1.142	0.790	12.095	0.754	1.220	2952	972	28.393	0.790	1.445	0.692	0.958
48	0.003	27.614	6.337	0.191	0.078	0.043	147.578	0.903	0.083	3805	871	142.125	0.049	1.798	0.556	0.893
