 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.005,10.071,0.064,0.336,0.126,0.051,106.197,0.564,0.130,7152,2,103.736,0.058,2.466,0.405,0.877
2,0.004,3.022,0.052,0.257,0.088,0.057,99.336,0.746,0.091,2143,4,92.643,0.056,1.546,0.647,0.933
3,2.392E-4,7.256,0.015,0.059,0.022,0.014,12.934,0.870,0.023,5153,13,21.801,0.014,1.590,0.629,0.934
4,0.001,10.310,0.031,0.131,0.042,0.033,29.483,0.791,0.045,7318,31,21.801,0.034,1.260,0.794,0.914
5,2.293E-4,3.866,0.021,0.056,0.021,0.014,89.287,0.909,0.022,2749,7,101.310,0.014,1.517,0.659,0.917
6,0.001,9.700,0.040,0.181,0.052,0.027,112.999,0.429,0.060,6900,7,102.095,0.039,1.908,0.524,0.706
7,7.907E-4,1.934,0.028,0.106,0.032,0.031,29.810,0.882,0.034,1372,8,101.768,0.032,1.029,0.972,0.931
8,0.002,1.484,0.044,0.192,0.063,0.032,55.389,0.550,0.063,1049,54,70.346,0.038,1.951,0.513,0.814
9,0.005,3.252,0.059,0.278,0.088,0.068,103.641,0.759,0.094,2292,16,123.453,0.068,1.294,0.773,0.932
10,2.847E-4,10.400,0.035,0.065,0.023,0.016,103.845,0.854,0.024,7396,16,107.354,0.017,1.426,0.701,0.920
11,0.002,6.447,0.045,0.239,0.062,0.038,167.470,0.410,0.072,4559,25,146.929,0.052,1.627,0.615,0.733
12,0.008,7.987,0.078,0.370,0.131,0.075,34.959,0.712,0.132,5640,85,42.847,0.078,1.737,0.576,0.923
13,0.008,3.334,0.093,0.400,0.122,0.082,113.423,0.621,0.131,2349,23,125.395,0.085,1.491,0.671,0.884
14,1.443E-4,9.171,0.035,0.043,0.015,0.013,103.460,0.994,0.016,6520,20,116.565,0.013,1.150,0.869,0.930
15,1.977E-4,9.728,0.038,0.051,0.017,0.015,11.365,0.967,0.018,6913,25,161.565,0.015,1.103,0.906,0.926
16,1.680E-4,7.356,0.043,0.047,0.015,0.014,135.382,0.954,0.016,5226,29,160.017,0.015,1.026,0.975,0.904
17,1.502E-4,7.458,0.045,0.044,0.015,0.013,83.550,0.980,0.016,5303,27,105.255,0.013,1.182,0.846,0.921
18,0.005,3.432,0.085,0.309,0.099,0.068,173.581,0.690,0.105,2404,45,160.346,0.078,1.464,0.683,0.897
19,3.894E-4,8.321,0.053,0.073,0.024,0.020,12.744,0.926,0.025,5910,41,19.440,0.021,1.182,0.846,0.934
20,1.997E-4,10.124,0.055,0.051,0.018,0.014,132.617,0.964,0.019,7197,33,116.565,0.015,1.277,0.783,0.910
21,3.677E-4,4.067,0.058,0.073,0.026,0.018,158.606,0.863,0.027,2885,36,145.491,0.018,1.484,0.674,0.930
22,1.957E-4,5.913,0.059,0.052,0.019,0.013,33.366,0.903,0.020,4199,45,24.775,0.014,1.510,0.662,0.892
23,3.637E-4,5.858,0.062,0.074,0.025,0.019,171.228,0.827,0.027,4159,39,147.995,0.018,1.336,0.748,0.925
24,1.285E-4,7.477,0.059,0.040,0.015,0.011,127.803,0.997,0.015,5314,38,123.690,0.012,1.291,0.775,0.903
25,0.007,9.246,0.102,0.354,0.109,0.082,159.775,0.700,0.115,6550,39,142.431,0.084,1.337,0.748,0.911
26,3.756E-4,5.012,0.066,0.074,0.026,0.018,64.512,0.857,0.028,3561,57,72.474,0.019,1.452,0.689,0.913
27,2.748E-4,11.130,0.064,0.065,0.021,0.017,165.356,0.828,0.023,7907,45,172.875,0.018,1.251,0.800,0.877
28,3.598E-4,9.961,0.066,0.085,0.032,0.014,139.827,0.626,0.032,7074,42,145.620,0.018,2.218,0.451,0.771
29,6.682E-4,4.545,0.072,0.100,0.033,0.026,130.793,0.842,0.035,3223,43,146.310,0.027,1.242,0.805,0.920
30,3.618E-4,3.939,0.070,0.074,0.026,0.018,0.924,0.841,0.028,2791,51,14.744,0.018,1.464,0.683,0.922
31,0.010,3.612,0.133,0.427,0.141,0.089,110.073,0.677,0.152,2556,45,108.939,0.095,1.578,0.634,0.931
32,3.479E-4,10.522,0.078,0.071,0.024,0.019,59.143,0.866,0.025,7477,62,38.157,0.019,1.274,0.785,0.914
33,0.008,7.369,0.119,0.378,0.131,0.074,29.090,0.675,0.131,5207,119,33.179,0.076,1.768,0.566,0.912
34,1.581E-4,10.240,0.074,0.046,0.015,0.013,178.200,0.944,0.016,7277,51,160.017,0.014,1.178,0.849,0.909
35,2.313E-4,5.954,0.083,0.059,0.021,0.014,35.384,0.846,0.021,4230,65,58.392,0.015,1.436,0.696,0.890
36,0.007,3.064,0.130,0.355,0.127,0.074,53.434,0.733,0.134,2147,126,50.117,0.075,1.715,0.583,0.940
37,0.004,11.072,0.123,0.265,0.087,0.061,115.921,0.747,0.092,7860,57,125.640,0.066,1.438,0.695,0.936
38,1.245E-4,9.537,0.083,0.042,0.014,0.012,159.873,0.877,0.016,6777,58,169.695,0.012,1.197,0.835,0.881
39,0.014,5.288,0.165,0.523,0.175,0.104,96.858,0.655,0.181,3758,182,78.341,0.107,1.684,0.594,0.917
40,5.575E-4,3.129,0.095,0.094,0.032,0.022,109.493,0.795,0.033,2217,59,133.264,0.022,1.468,0.681,0.892
41,1.937E-4,4.252,0.091,0.051,0.018,0.014,122.875,0.948,0.019,3022,58,116.565,0.015,1.254,0.797,0.920
42,7.473E-4,5.544,0.097,0.106,0.035,0.028,4.939,0.841,0.038,3929,66,171.573,0.029,1.254,0.798,0.909
43,1.720E-4,5.611,0.092,0.048,0.017,0.013,89.905,0.925,0.018,3990,59,108.435,0.013,1.350,0.741,0.921
44,7.038E-4,7.547,0.109,0.120,0.043,0.021,69.871,0.612,0.048,5360,91,64.179,0.025,2.094,0.478,0.841
45,1.344E-4,6.832,0.093,0.041,0.013,0.013,63.435,1.000,0.014,4857,62,119.055,0.013,1.028,0.973,0.938
46,1.918E-4,9.340,0.096,0.053,0.021,0.012,137.365,0.858,0.021,6636,65,148.392,0.013,1.776,0.563,0.890
47,1.364E-4,10.536,0.096,0.043,0.015,0.012,140.698,0.924,0.016,7491,63,116.565,0.013,1.217,0.821,0.902
