 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.005,7.718,0.051,0.280,0.083,0.074,30.604,0.770,0.092,5472,47,16.783,0.079,1.113,0.898,0.918
2,0.030,7.023,0.129,1.145,0.213,0.180,94.586,0.289,0.251,5012,7,93.198,0.203,1.186,0.843,0.804
3,0.050,8.083,0.152,1.179,0.314,0.205,6.887,0.456,0.319,5650,83,168.838,0.220,1.530,0.654,0.853
4,0.003,9.192,0.051,0.223,0.073,0.053,160.672,0.762,0.080,6528,22,158.385,0.058,1.379,0.725,0.930
5,4.485E-4,2.957,0.040,0.078,0.026,0.022,40.376,0.916,0.028,2099,32,30.466,0.023,1.192,0.839,0.933
6,0.004,10.873,0.060,0.243,0.075,0.066,3.608,0.827,0.079,7724,41,5.102,0.067,1.126,0.888,0.937
7,6.746E-4,5.029,0.054,0.102,0.035,0.025,171.123,0.816,0.038,3571,37,171.573,0.027,1.429,0.700,0.917
8,3.068E-4,4.551,0.060,0.067,0.020,0.019,21.775,0.870,0.023,3238,47,42.510,0.020,1.069,0.935,0.926
9,0.003,8.855,0.098,0.244,0.074,0.058,6.833,0.710,0.080,6284,69,10.125,0.063,1.292,0.774,0.909
10,0.003,1.609,0.096,0.241,0.080,0.054,36.841,0.729,0.092,1122,84,31.264,0.061,1.485,0.673,0.911
11,0.019,10.451,0.178,0.602,0.213,0.115,92.785,0.669,0.220,7437,205,80.838,0.122,1.841,0.543,0.914
12,0.003,4.611,0.113,0.223,0.071,0.053,112.893,0.742,0.077,3275,56,125.417,0.057,1.356,0.737,0.918
13,0.005,1.722,0.127,0.279,0.094,0.067,95.590,0.795,0.095,1215,58,107.103,0.069,1.396,0.716,0.946
14,0.022,6.434,0.141,0.646,0.245,0.115,179.770,0.670,0.245,4500,93,175.073,0.119,2.126,0.470,0.934
15,0.021,3.488,0.185,0.606,0.177,0.148,79.844,0.707,0.187,2487,62,95.156,0.148,1.195,0.837,0.931
16,0.005,3.386,0.153,0.341,0.124,0.054,85.826,0.566,0.131,2422,158,84.472,0.056,2.319,0.431,0.898
17,0.011,9.346,0.171,0.443,0.148,0.098,38.085,0.729,0.152,6613,149,22.782,0.106,1.517,0.659,0.941
18,5.625E-4,4.052,0.131,0.092,0.031,0.023,35.706,0.835,0.032,2880,102,55.620,0.026,1.331,0.752,0.921
19,0.011,9.002,0.186,0.448,0.131,0.103,62.551,0.667,0.144,6394,176,56.155,0.107,1.266,0.790,0.895
20,0.014,7.802,0.195,0.572,0.208,0.088,156.095,0.555,0.213,5495,94,152.592,0.099,2.365,0.423,0.876
21,5.389E-4,8.795,0.144,0.088,0.031,0.022,3.336,0.881,0.032,6260,105,15.255,0.022,1.379,0.725,0.937
22,4.150E-4,8.862,0.162,0.078,0.026,0.020,155.267,0.858,0.028,6309,114,165.256,0.021,1.326,0.754,0.902
23,7.160E-4,8.305,0.169,0.102,0.036,0.025,143.695,0.866,0.038,5909,115,148.671,0.027,1.406,0.711,0.933
24,3.186E-4,6.025,0.166,0.067,0.023,0.017,35.094,0.882,0.025,4291,125,51.843,0.019,1.328,0.753,0.931
25,7.809E-4,8.281,0.193,0.125,0.038,0.026,141.682,0.626,0.045,5890,131,143.842,0.031,1.480,0.675,0.841
26,3.068E-4,7.291,0.198,0.064,0.021,0.019,123.320,0.939,0.023,5195,134,111.801,0.020,1.139,0.878,0.926
27,0.039,10.866,0.312,0.848,0.271,0.185,15.318,0.690,0.279,7657,256,34.330,0.194,1.463,0.684,0.915
28,0.007,9.104,0.267,0.390,0.152,0.055,127.637,0.548,0.157,6456,150,126.254,0.062,2.746,0.364,0.898
29,0.003,10.364,0.233,0.207,0.072,0.054,16.250,0.895,0.073,7366,176,22.620,0.055,1.342,0.745,0.971
30,0.020,7.111,0.364,0.973,0.225,0.113,105.930,0.266,0.266,5083,352,83.025,0.165,1.985,0.504,0.597
31,5.075E-4,8.294,0.242,0.088,0.030,0.021,44.239,0.820,0.034,5904,179,38.290,0.023,1.417,0.706,0.940
32,4.681E-4,3.624,0.248,0.082,0.031,0.019,144.379,0.883,0.032,2574,171,147.724,0.020,1.605,0.623,0.937
33,2.872E-4,6.116,0.253,0.062,0.020,0.018,2.313,0.925,0.021,4353,179,168.690,0.019,1.079,0.927,0.907
34,0.038,9.998,0.380,1.289,0.332,0.145,51.901,0.286,0.354,7082,396,60.593,0.182,2.286,0.437,0.778
35,0.014,5.911,0.319,0.503,0.166,0.108,24.243,0.700,0.174,4152,239,9.767,0.115,1.532,0.653,0.919
36,3.068E-4,8.408,0.286,0.064,0.020,0.019,115.242,0.929,0.022,5988,201,165.069,0.020,1.029,0.972,0.920
