 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3.072E-4,5.601,0.014,0.065,0.021,0.019,66.209,0.903,0.023,3961,17,68.199,0.020,1.108,0.902,0.911
2,1.496E-4,9.396,0.011,0.045,0.016,0.012,75.324,0.932,0.017,6650,13,65.556,0.013,1.360,0.735,0.909
3,1.835E-4,5.360,0.013,0.050,0.018,0.013,104.295,0.920,0.019,3794,3,102.995,0.014,1.349,0.741,0.915
4,1.716E-4,5.674,0.012,0.048,0.016,0.013,50.956,0.946,0.018,4013,13,45.000,0.014,1.202,0.832,0.915
5,2.035E-4,5.968,0.015,0.057,0.022,0.012,88.427,0.786,0.022,4222,18,71.565,0.013,1.800,0.556,0.899
6,2.015E-4,2.414,0.016,0.052,0.020,0.013,103.600,0.946,0.021,1707,4,109.654,0.013,1.519,0.658,0.935
7,1.197E-4,3.300,0.013,0.040,0.013,0.012,13.335,0.920,0.014,2331,10,11.310,0.013,1.079,0.927,0.870
8,1.596E-4,6.394,0.018,0.046,0.015,0.013,73.698,0.944,0.017,4524,18,70.017,0.014,1.146,0.873,0.909
9,2.035E-4,3.885,0.018,0.054,0.020,0.013,16.973,0.886,0.021,2744,15,15.945,0.014,1.489,0.672,0.919
10,2.374E-4,9.776,0.018,0.058,0.022,0.014,7.165,0.880,0.022,6914,16,18.435,0.014,1.567,0.638,0.915
11,2.095E-4,2.978,0.021,0.052,0.018,0.015,55.227,0.984,0.019,2103,19,36.027,0.016,1.202,0.832,0.929
12,1.676E-4,6.048,0.019,0.051,0.017,0.012,27.724,0.813,0.020,4275,16,21.038,0.014,1.381,0.724,0.880
13,2.953E-4,7.572,0.025,0.071,0.028,0.013,61.094,0.746,0.028,5356,26,59.534,0.014,2.098,0.477,0.884
14,2.773E-4,10.141,0.021,0.072,0.028,0.013,6.454,0.669,0.028,7170,19,14.744,0.015,2.159,0.463,0.835
15,1.835E-4,7.112,0.023,0.049,0.016,0.014,53.867,0.951,0.018,5033,22,71.565,0.015,1.117,0.895,0.911
16,2.454E-4,1.480,0.025,0.058,0.020,0.016,1.872,0.925,0.021,1041,15,164.055,0.017,1.269,0.788,0.908
17,1.317E-4,7.448,0.023,0.042,0.015,0.012,45.961,0.919,0.015,5268,18,33.690,0.012,1.264,0.791,0.886
18,8.977E-4,5.374,0.043,0.141,0.047,0.024,88.932,0.565,0.052,3806,48,77.471,0.028,1.933,0.517,0.808
19,3.651E-4,1.620,0.029,0.071,0.024,0.019,124.256,0.909,0.026,1142,13,130.601,0.020,1.290,0.775,0.931
20,1.456E-4,5.560,0.028,0.043,0.015,0.012,70.068,0.978,0.017,3935,25,70.017,0.013,1.280,0.781,0.918
21,0.003,9.207,0.046,0.212,0.072,0.051,176.302,0.816,0.075,6494,26,164.650,0.054,1.410,0.709,0.937
22,3.172E-4,10.302,0.032,0.070,0.028,0.015,128.236,0.820,0.029,7288,14,122.905,0.016,1.915,0.522,0.901
23,1.776E-4,8.242,0.030,0.049,0.018,0.013,87.020,0.915,0.019,5833,27,63.435,0.013,1.409,0.710,0.927
24,0.006,0.918,0.073,0.310,0.087,0.081,118.917,0.721,0.098,645,16,102.440,0.086,1.077,0.928,0.884
25,1.815E-4,3.741,0.031,0.051,0.017,0.014,64.389,0.892,0.018,2645,27,57.529,0.014,1.232,0.812,0.901
26,2.434E-4,5.018,0.034,0.061,0.023,0.013,98.633,0.812,0.023,3551,16,104.036,0.014,1.718,0.582,0.900
27,1.656E-4,9.031,0.029,0.046,0.015,0.014,2.583,0.980,0.017,6389,18,160.017,0.014,1.079,0.926,0.922
28,2.813E-4,7.095,0.034,0.064,0.024,0.015,145.211,0.861,0.025,5015,21,153.435,0.016,1.674,0.597,0.907
29,4.389E-4,7.473,0.041,0.091,0.038,0.015,54.758,0.661,0.039,5286,41,61.557,0.017,2.599,0.385,0.863
30,1.616E-4,4.504,0.033,0.046,0.016,0.013,122.297,0.956,0.017,3185,19,124.992,0.014,1.237,0.809,0.900
31,1.357E-4,2.951,0.033,0.041,0.014,0.012,19.864,1.000,0.015,2084,25,21.801,0.013,1.152,0.868,0.919
32,1.935E-4,0.345,0.037,0.050,0.017,0.014,113.840,0.970,0.018,242,20,112.620,0.015,1.175,0.851,0.911
33,3.092E-4,3.466,0.040,0.070,0.026,0.015,8.760,0.789,0.026,2445,32,15.524,0.016,1.765,0.567,0.883
34,2.174E-4,9.259,0.040,0.056,0.019,0.014,144.138,0.880,0.020,6552,22,123.690,0.016,1.370,0.730,0.908
35,3.352E-4,10.226,0.049,0.103,0.035,0.012,82.544,0.393,0.036,7238,47,76.504,0.017,2.805,0.357,0.661
36,2.893E-4,3.688,0.040,0.069,0.023,0.016,15.544,0.755,0.026,2603,28,9.462,0.018,1.416,0.706,0.863
37,1.795E-4,7.064,0.041,0.049,0.016,0.014,74.388,0.943,0.018,4999,35,71.565,0.014,1.146,0.872,0.909
38,2.015E-4,9.730,0.041,0.055,0.020,0.013,25.506,0.840,0.022,6881,32,26.565,0.015,1.596,0.627,0.871
39,0.020,10.479,0.106,0.562,0.172,0.147,22.322,0.790,0.182,7364,105,24.775,0.152,1.173,0.852,0.949
40,2.274E-4,7.359,0.041,0.059,0.020,0.014,170.565,0.834,0.022,5202,27,168.690,0.016,1.440,0.694,0.891
41,2.254E-4,8.935,0.042,0.055,0.020,0.014,33.777,0.923,0.022,6319,34,31.608,0.016,1.386,0.722,0.938
42,1.516E-4,10.278,0.041,0.044,0.016,0.012,44.469,0.980,0.016,7272,32,30.964,0.013,1.267,0.789,0.921
43,3.232E-4,2.213,0.046,0.068,0.023,0.018,133.108,0.882,0.025,1561,25,132.709,0.020,1.242,0.805,0.923
44,0.003,4.066,0.068,0.237,0.080,0.048,160.405,0.676,0.081,2853,38,159.677,0.051,1.677,0.596,0.896
45,2.613E-4,7.009,0.042,0.059,0.022,0.015,1.147,0.942,0.022,4955,27,161.565,0.014,1.472,0.679,0.960
46,1.576E-4,8.075,0.042,0.045,0.015,0.013,43.440,0.982,0.016,5712,33,30.964,0.014,1.183,0.845,0.929
47,6.184E-4,4.698,0.052,0.093,0.029,0.027,85.626,0.892,0.032,3324,48,77.196,0.028,1.095,0.913,0.923
48,2.095E-4,2.405,0.047,0.052,0.018,0.015,88.643,0.984,0.019,1701,40,72.897,0.014,1.240,0.806,0.942
