 ,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.578E-4,8.207,0.010,0.046,0.017,0.012,113.201,0.921,0.018,5769,1,112.620,0.013,1.518,0.659,0.912
2,0.006,5.570,0.054,0.320,0.094,0.087,87.755,0.792,0.107,3899,70,64.799,0.090,1.080,0.926,0.935
3,1.497E-4,1.826,0.017,0.045,0.016,0.012,126.735,0.940,0.017,1281,7,114.444,0.012,1.366,0.732,0.914
4,2.164E-4,8.134,0.019,0.054,0.017,0.016,29.629,0.941,0.019,5714,18,41.987,0.016,1.055,0.948,0.918
5,0.004,10.656,0.046,0.258,0.077,0.067,16.339,0.756,0.086,7483,63,55.784,0.074,1.150,0.870,0.920
6,4.571E-4,2.421,0.042,0.090,0.036,0.016,56.819,0.710,0.036,1697,41,64.440,0.019,2.174,0.460,0.853
7,2.549E-4,6.706,0.048,0.062,0.024,0.013,128.630,0.820,0.024,4710,27,125.538,0.015,1.781,0.562,0.884
8,0.004,3.993,0.080,0.255,0.087,0.061,34.493,0.807,0.090,2777,65,12.724,0.061,1.423,0.703,0.942
9,1.153E-4,7.800,0.049,0.039,0.013,0.011,50.297,0.967,0.014,5480,37,23.962,0.012,1.145,0.874,0.891
10,3.196E-4,7.247,0.055,0.069,0.023,0.018,103.267,0.843,0.025,5091,31,103.241,0.020,1.260,0.794,0.905
11,1.820E-4,10.485,0.053,0.048,0.016,0.014,150.755,0.976,0.017,7367,34,145.008,0.015,1.141,0.876,0.909
12,0.005,0.972,0.100,0.304,0.110,0.062,124.941,0.732,0.113,677,33,106.837,0.064,1.761,0.568,0.934
13,1.719E-4,5.237,0.054,0.049,0.018,0.012,19.022,0.903,0.019,3676,40,26.565,0.013,1.461,0.685,0.924
14,3.823E-4,2.114,0.064,0.079,0.027,0.018,55.565,0.766,0.030,1477,51,41.186,0.020,1.499,0.667,0.885
15,2.852E-4,7.964,0.058,0.069,0.026,0.014,168.926,0.760,0.028,5590,38,168.111,0.015,1.920,0.521,0.898
16,6.412E-4,6.754,0.068,0.101,0.040,0.020,35.365,0.785,0.040,4738,57,39.289,0.022,1.992,0.502,0.907
17,2.245E-4,11.000,0.071,0.057,0.021,0.014,82.087,0.870,0.022,7732,57,71.565,0.014,1.527,0.655,0.910
18,1.719E-4,8.845,0.068,0.051,0.019,0.011,39.413,0.822,0.021,6213,52,33.690,0.013,1.700,0.588,0.885
19,4.672E-4,10.977,0.086,0.117,0.030,0.020,101.077,0.426,0.033,7718,48,102.265,0.026,1.475,0.678,0.749
20,0.008,3.405,0.131,0.371,0.106,0.096,41.487,0.726,0.120,2353,112,36.327,0.102,1.103,0.907,0.901
21,2.650E-4,5.064,0.106,0.063,0.024,0.014,112.857,0.830,0.025,3558,66,106.390,0.016,1.642,0.609,0.894
22,0.013,4.668,0.187,0.476,0.158,0.107,120.937,0.732,0.167,3262,71,117.440,0.112,1.479,0.676,0.924
23,2.508E-4,7.112,0.110,0.060,0.023,0.014,173.255,0.882,0.024,4993,75,162.646,0.014,1.677,0.596,0.922
24,0.006,7.376,0.164,0.310,0.108,0.070,101.752,0.780,0.111,5171,78,110.985,0.074,1.528,0.654,0.937
25,1.679E-4,4.809,0.130,0.046,0.016,0.013,97.683,0.995,0.017,3379,86,109.983,0.013,1.188,0.842,0.943
26,1.274E-4,8.416,0.133,0.041,0.013,0.012,11.892,0.966,0.015,5913,92,168.690,0.013,1.053,0.950,0.894
27,0.027,6.174,0.219,0.888,0.234,0.146,4.969,0.428,0.255,4259,143,3.198,0.178,1.602,0.624,0.840
28,2.083E-4,8.940,0.144,0.053,0.019,0.014,62.123,0.923,0.020,6283,108,65.225,0.015,1.398,0.715,0.916
29,1.578E-4,6.523,0.145,0.047,0.016,0.012,74.172,0.902,0.018,4584,108,61.390,0.013,1.343,0.745,0.912
30,0.005,5.281,0.184,0.276,0.084,0.076,136.284,0.824,0.094,3692,106,133.152,0.078,1.098,0.910,0.954
31,1.578E-4,7.276,0.151,0.045,0.015,0.013,172.254,0.991,0.017,5111,104,160.017,0.014,1.150,0.870,0.907
32,0.010,6.843,0.213,0.456,0.181,0.072,141.520,0.621,0.180,4759,110,144.305,0.080,2.510,0.398,0.910
33,2.387E-4,6.560,0.165,0.060,0.023,0.013,75.845,0.839,0.024,4611,125,72.646,0.014,1.743,0.574,0.915
34,1.922E-4,2.858,0.168,0.052,0.019,0.013,63.619,0.890,0.020,2006,124,50.711,0.014,1.490,0.671,0.909
35,0.003,10.471,0.198,0.227,0.082,0.047,126.453,0.731,0.085,7344,120,139.086,0.048,1.759,0.569,0.929
36,0.013,8.897,0.234,0.437,0.136,0.118,129.343,0.831,0.143,6226,122,137.420,0.123,1.149,0.870,0.961
37,0.003,2.685,0.203,0.220,0.068,0.054,42.841,0.754,0.077,1874,164,57.771,0.054,1.254,0.798,0.916
38,0.043,2.761,0.308,0.955,0.320,0.170,40.264,0.588,0.334,1830,279,35.991,0.181,1.882,0.531,0.896
39,1.800E-4,5.629,0.189,0.050,0.019,0.012,68.434,0.902,0.020,3954,139,65.225,0.013,1.514,0.661,0.927
40,2.872E-4,3.657,0.199,0.063,0.022,0.017,167.841,0.900,0.023,2563,138,169.380,0.018,1.282,0.780,0.907
41,1.699E-4,10.534,0.211,0.047,0.017,0.013,57.915,0.957,0.018,7403,154,61.390,0.014,1.278,0.782,0.923
42,2.366E-4,7.129,0.218,0.059,0.022,0.014,48.415,0.846,0.023,5007,160,52.431,0.015,1.615,0.619,0.897
43,1.294E-4,8.008,0.221,0.041,0.014,0.012,25.241,0.981,0.015,5626,158,21.801,0.013,1.178,0.849,0.889
44,0.006,9.360,0.260,0.311,0.096,0.077,160.346,0.759,0.101,6550,176,169.479,0.077,1.244,0.804,0.940
45,0.008,6.644,0.267,0.426,0.141,0.074,0.764,0.572,0.150,4611,193,174.560,0.090,1.897,0.527,0.886
46,4.369E-4,4.946,0.240,0.086,0.035,0.016,163.918,0.741,0.036,3466,165,163.740,0.018,2.194,0.456,0.911
47,1.699E-4,10.125,0.239,0.047,0.017,0.013,36.089,0.957,0.018,7114,171,28.610,0.014,1.298,0.771,0.918
48,1.638E-4,8.069,0.246,0.046,0.015,0.014,91.423,0.956,0.016,5673,167,105.255,0.014,1.085,0.921,0.910
49,0.016,9.691,0.329,0.576,0.179,0.116,97.340,0.621,0.189,6789,172,112.122,0.133,1.546,0.647,0.877
50,0.008,0.074,0.312,0.368,0.118,0.088,42.782,0.762,0.125,16,249,31.522,0.090,1.341,0.746,0.941
51,1.719E-4,8.244,0.263,0.048,0.017,0.013,57.546,0.922,0.018,5793,190,61.390,0.014,1.252,0.798,0.904
52,1.375E-4,7.839,0.277,0.042,0.016,0.011,56.904,0.962,0.017,5509,200,59.036,0.012,1.413,0.708,0.919
53,1.841E-4,4.700,0.283,0.050,0.016,0.015,70.438,0.922,0.018,3301,204,61.390,0.016,1.111,0.900,0.915
54,0.008,0.671,0.326,0.390,0.142,0.069,166.228,0.639,0.141,426,239,8.702,0.067,2.050,0.488,0.933
55,0.014,4.331,0.356,0.486,0.148,0.125,126.420,0.771,0.155,2995,237,155.078,0.124,1.185,0.844,0.951
56,0.001,7.656,0.300,0.137,0.050,0.027,46.152,0.697,0.054,5368,221,32.005,0.029,1.876,0.533,0.876
57,0.020,9.329,0.379,0.611,0.220,0.118,156.919,0.683,0.216,6503,222,144.111,0.114,1.868,0.535,0.950
58,1.254E-4,10.348,0.307,0.040,0.014,0.012,63.736,0.991,0.015,7274,221,73.301,0.012,1.203,0.831,0.892
59,1.335E-4,8.593,0.310,0.042,0.014,0.012,29.254,0.972,0.015,6037,219,16.699,0.013,1.112,0.899,0.904
60,2.184E-4,6.880,0.316,0.056,0.021,0.013,54.250,0.883,0.022,4833,229,55.305,0.015,1.527,0.655,0.923
61,0.016,4.013,0.408,0.607,0.228,0.091,49.670,0.555,0.240,2768,356,54.147,0.103,2.506,0.399,0.887
62,0.033,5.570,0.397,0.857,0.308,0.135,20.257,0.560,0.326,3822,303,20.410,0.149,2.277,0.439,0.924
63,0.006,11.022,0.346,0.324,0.095,0.074,168.398,0.666,0.106,7718,223,150.350,0.076,1.283,0.779,0.891
64,3.317E-4,5.878,0.325,0.079,0.029,0.014,127.209,0.667,0.029,4128,220,112.834,0.017,2.030,0.493,0.794
65,0.008,2.442,0.354,0.411,0.127,0.082,176.168,0.604,0.139,1675,229,149.237,0.085,1.552,0.644,0.877
66,1.375E-4,5.011,0.327,0.043,0.014,0.012,170.121,0.947,0.016,3518,229,169.695,0.013,1.199,0.834,0.895
67,1.092E-4,8.176,0.330,0.039,0.013,0.011,45.000,0.916,0.013,5744,233,18.435,0.012,1.132,0.884,0.864
68,0.002,8.593,0.351,0.166,0.064,0.033,17.334,0.754,0.067,6020,256,18.435,0.036,1.959,0.510,0.938
69,1.739E-4,7.899,0.344,0.050,0.017,0.013,95.581,0.860,0.018,5553,248,71.565,0.015,1.253,0.798,0.873
70,0.004,7.034,0.381,0.259,0.079,0.068,117.354,0.784,0.086,4936,238,112.329,0.071,1.167,0.857,0.918
71,1.436E-4,8.050,0.345,0.043,0.015,0.013,146.725,0.989,0.015,5657,238,123.690,0.013,1.167,0.857,0.899
72,0.005,0.840,0.379,0.322,0.123,0.056,19.342,0.656,0.128,550,283,22.276,0.062,2.200,0.455,0.903
