Dlamdaint,CnCoint
0.00,1.00
0.05,1.00
0.10,1.00
0.15,0.99
0.20,0.99
0.25,0.98
0.30,0.97
0.35,0.96
0.40,0.95
0.45,0.93
0.50,0.91
0.55,0.89
0.60,0.86
0.65,0.83
0.70,0.81
0.75,0.78
0.80,0.76
0.85,0.74
0.90,0.72
0.95,0.70
1.00,0.68
1.20,0.64
1.40,0.61
1.60,0.60
1.80,0.59
2.00,0.58
2.20,0.58
2.40,0.58
2.60,0.58
2.80,0.58
3.00,0.58
3.20,0.58
3.40,0.58
3.60,0.58
3.80,0.58
4.00,0.58
4.20,0.58
4.40,0.58
4.60,0.58
4.80,0.58
5.00,0.58
5.20,0.58
5.40,0.58
5.60,0.58
5.80,0.58
6.00,0.58
6.20,0.58
6.40,0.58
6.60,0.58
6.80,0.58
7.00,0.58
7.20,0.58
7.40,0.58
7.60,0.58
7.80,0.58
8.00,0.58
8.20,0.58
8.40,0.58
